column_name,table_id,source_file,source_column_role,missing_count,missing_pct,dtype,notes
census_g01_tot_p_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_tot_p_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_tot_p_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_0_4_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_0_4_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_0_4_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_5_14_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_5_14_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_5_14_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_15_19_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_15_19_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_15_19_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_20_24_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_20_24_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_20_24_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_25_34_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_25_34_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_25_34_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_35_44_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_35_44_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_35_44_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_45_54_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_45_54_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_45_54_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_55_64_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_55_64_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_55_64_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_65_74_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_65_74_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_65_74_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_75_84_yr_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_75_84_yr_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_75_84_yr_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_85ov_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_85ov_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_85ov_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_counted_census_night_home_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_counted_census_night_home_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_counted_census_night_home_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_census_nt_ewhere_aust_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_census_nt_ewhere_aust_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_census_nt_ewhere_aust_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indigenous_psns_aboriginal_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indigenous_psns_aboriginal_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indigenous_psns_aboriginal_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indig_psns_torres_strait_is_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indig_psns_torres_strait_is_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indig_psns_torres_strait_is_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indig_bth_abor_torres_st_is_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indig_bth_abor_torres_st_is_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indig_bth_abor_torres_st_is_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indigenous_p_tot_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indigenous_p_tot_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_indigenous_p_tot_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_birthplace_australia_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_birthplace_australia_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_birthplace_australia_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_birthplace_elsewhere_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_birthplace_elsewhere_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_birthplace_elsewhere_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_lang_used_home_eng_only_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_lang_used_home_eng_only_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_lang_used_home_eng_only_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_lang_used_home_oth_lang_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_lang_used_home_oth_lang_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_lang_used_home_oth_lang_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_australian_citizen_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_australian_citizen_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_australian_citizen_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_educ_inst_0_4_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_educ_inst_0_4_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_educ_inst_0_4_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_educ_inst_5_14_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_educ_inst_5_14_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_educ_inst_5_14_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_15_19_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_15_19_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_15_19_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_20_24_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_20_24_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_20_24_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_25_ov_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_25_ov_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_age_psns_att_edu_inst_25_ov_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_12_eq_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_12_eq_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_12_eq_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_11_eq_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_11_eq_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_11_eq_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_10_eq_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_10_eq_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_10_eq_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_9_eq_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_9_eq_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_9_eq_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_8_belw_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_8_belw_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
