column_name,source_family,native_geography,field_role,primary_model_use,notes
dss_sa2_2021_allocated_commonwealth_rent_assistance_recipients,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
dss_sa2_2021_allocated_parenting_payment_partnered_recipients,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
dss_sa2_2021_allocated_parenting_payment_single_recipients,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
dss_sa2_2021_allocated_youth_allowance_student_and_apprentice_recipients,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_average_number_of_people_per_bedroom_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_average_number_of_people_per_household_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_median_weekly_household_income_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_mortgage_and_rent_occupied_private_median_monthly_mortgage_repayments_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_mortgage_and_rent_occupied_private_median_weekly_rent_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_breadcrumb_unnamed_unnamed_0_all_private_dwellings_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_breadcrumb_unnamed_unnamed_0_average_number_of_motor_vehicles_per_dwelling_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_breadcrumb_unnamed_unnamed_0_median_monthly_mortgage_repayments_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_breadcrumb_unnamed_unnamed_0_median_weekly_rent_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_in_australia_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_in_australia_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_overseas_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_overseas_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_father_only_born_overseas_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_father_only_born_overseas_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_mother_only_born_overseas_count,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_mother_only_born_overseas_pct,existing Census QuickStats / prior master housing variables,SA2 2021 master column,existing_context_predictor_candidate,candidate_after_feature_scoping_and_denominator_review,Existing housing-related field already present in the v06 master. This v07 fallback did not add external MAID/RAID columns because no downloadable external resource was available during acquisition.
