column_name,source_family,native_geography,field_role,primary_model_use,source_column,notes
housing_qs_median_weekly_rent,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_median_rent_count,Median weekly rent from Census QuickStats housing table.
housing_qs_median_monthly_mortgage_repayments,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_median_mortgage_repayments_count,Median monthly mortgage repayments from Census QuickStats housing table.
housing_qs_renter_households_rent_gt_30_income_count,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_count,Count of renter households with rent payments greater than 30% of household income.
housing_qs_renter_households_rent_gt_30_income_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_pct,Percentage of renter households with rent payments greater than 30% of household income.
housing_qs_renter_households_rent_le_30_income_count,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_count,Count of renter households with rent payments less than or equal to 30% of household income.
housing_qs_renter_households_rent_le_30_income_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_pct,Percentage of renter households with rent payments less than or equal to 30% of household income.
housing_qs_mortgaged_households_repayment_gt_30_income_count,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_count,Count of owner-with-mortgage households with repayments greater than 30% of household income.
housing_qs_mortgaged_households_repayment_gt_30_income_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_pct,Percentage of owner-with-mortgage households with repayments greater than 30% of household income.
housing_qs_mortgaged_households_repayment_le_30_income_count,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_count,Count of owner-with-mortgage households with repayments less than or equal to 30% of household income.
housing_qs_mortgaged_households_repayment_le_30_income_pct,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_pct,Percentage of owner-with-mortgage households with repayments less than or equal to 30% of household income.
housing_qs_owned_outright_count,Census QuickStats housing context,SA2 2021,derived_context_predictor_candidate,candidate_context_predictor_after_scope_review; prefer pct/rate fields over raw counts where available,census_qs_housing_unnamed_unnamed_tenure_type_occupied_private_dwelli_owned_outright_count,Occupied private dwellings owned outright.
