column_name,field_role,source_family,native_geography,analysis_geography,primary_model_use,poc_model_use,notes
sa2_code_2021,join_key,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_count,poc_context_measure,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,candidate_context_variable,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_reference_period,metadata,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_native_geography,metadata,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_target_geography,metadata,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_allocation_method,metadata,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_contributing_2016_code_count,poc_context_measure,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,candidate_context_variable,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_contributing_bridge_row_count,poc_context_measure,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,candidate_context_variable,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_allocation_required_bridge_row_count,poc_context_measure,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,candidate_context_variable,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_min_ratio_from_to,metadata,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa2_participants_max_ratio_from_to,metadata,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
source_ndia_poc_sa2_participants_public_poc_present_flag,source_presence_flag,ndia_public_poc_participant_counts,SA2_2016,SA2_2021,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
sa3_code_2021,join_key,ndia_public_poc_participant_counts,SA3_2016,SA3_2021 repeated across SA2 rows after join,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa3_participants_count,poc_context_measure,ndia_public_poc_participant_counts,SA3_2016,SA3_2021 repeated across SA2 rows after join,exclude,candidate_context_variable,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
ndia_poc_sa3_participants_reference_period,metadata,ndia_public_poc_participant_counts,SA3_2016,SA3_2021 repeated across SA2 rows after join,exclude,metadata_or_join_field,Time-misaligned NDIA public POC context layer. Counts allocated from ASGS 2016 to ASGS 2021 using ABS RATIO_FROM_TO.
