column_name,source_family,native_geography,field_role,primary_model_use,notes
phn_2017_code,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
phn_2017_name,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
phn_2017_ratio_from_sa2,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
phn_2017_multiple_phn_rows_flag,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
source_phn_2017_sa2_2021_present_flag,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
dominant_lga_code_2021,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
dominant_lga_name_2021,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
dominant_lga_ratio_from_sa2_area,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
dominant_lga_multiple_lga_rows_flag,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
source_lga_2021_area_bridge_present_flag,PHN/LGA bridge context,SA2 2021 bridge/dominant geography,context_grouping_or_bridge_metadata,"exclude_by_default_from_primary_model; use for stratification, grouping, reporting, or future bridge joins",Dominant LGA is area-based. Do not treat LGA context as direct SA2 service exposure without a source-specific method.
