column_name,quickstats_section,quickstats_topic,quickstats_row_label,measure_type,source,initial_field_role,initial_modelling_use,notes
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_average_number_of_people_per_bedroom_count,Aboriginal and/or Torres Strait Islander peoples,,Average number of people per bedroom,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_average_number_of_people_per_household_count,Aboriginal and/or Torres Strait Islander peoples,,Average number of people per household,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_median_weekly_household_income_count,Aboriginal and/or Torres Strait Islander peoples,,Median weekly household income (a),count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_mortgage_and_rent_occupied_private_median_monthly_mortgage_repayments_count,Aboriginal and/or Torres Strait Islander peoples,,Median monthly mortgage repayments,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_mortgage_and_rent_occupied_private_median_weekly_rent_count,Aboriginal and/or Torres Strait Islander peoples,,Median weekly rent (a),count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_people_characteristics_aboriginal_a_female_count,Aboriginal and/or Torres Strait Islander peoples,,Female,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_people_characteristics_aboriginal_a_female_pct,Aboriginal and/or Torres Strait Islander peoples,,Female,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_people_characteristics_aboriginal_a_male_count,Aboriginal and/or Torres Strait Islander peoples,,Male,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_people_characteristics_aboriginal_a_male_pct,Aboriginal and/or Torres Strait Islander peoples,,Male,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_people_characteristics_aboriginal_a_median_age_count,Aboriginal and/or Torres Strait Islander peoples,,Median age,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_count,Australian Defence Force service,,Currently serving,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_pct,Australian Defence Force service,,Currently serving,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_has_never_served_count,Australian Defence Force service,,Has never served,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_has_never_served_pct,Australian Defence Force service,,Has never served,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_not_stated_count,Australian Defence Force service,,Not stated,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_not_stated_pct,Australian Defence Force service,,Not stated,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_previously_served_count,Australian Defence Force service,,Previously served (and not currently serving),count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_previously_served_pct,Australian Defence Force service,,Previously served (and not currently serving),percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_all_private_dwellings_count,Breadcrumb,,All private dwellings,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_average_number_of_motor_vehicles_per_dwelling_count,Breadcrumb,,Average number of motor vehicles per dwelling,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_average_number_of_people_per_household_count,Breadcrumb,,Average number of people per household,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_families_count,Breadcrumb,,Families,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_female_count,Breadcrumb,,Female,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_for_all_households_count,Breadcrumb,,for all households (a),count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_for_families_with_children_count,Breadcrumb,,for families with children,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_male_count,Breadcrumb,,Male,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_median_age_count,Breadcrumb,,Median age,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_median_monthly_mortgage_repayments_count,Breadcrumb,,Median monthly mortgage repayments,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_median_weekly_household_income_count,Breadcrumb,,Median weekly household income,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_median_weekly_rent_count,Breadcrumb,,Median weekly rent (b),count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_breadcrumb_unnamed_unnamed_0_people_count,Breadcrumb,,People,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_afghan_count,Cultural diversity,,Afghan,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_afghan_pct,Cultural diversity,,Afghan,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_albanian_count,Cultural diversity,,Albanian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_albanian_pct,Cultural diversity,,Albanian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_assyrian_count,Cultural diversity,,Assyrian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_assyrian_pct,Cultural diversity,,Assyrian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_aboriginal_count,Cultural diversity,,Australian Aboriginal,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_aboriginal_pct,Cultural diversity,,Australian Aboriginal,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_count,Cultural diversity,,Australian,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_pct,Cultural diversity,,Australian,percent,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_south_sea_islander_count,Cultural diversity,,Australian South Sea Islander,count_or_value,"ABS 2021 Census QuickStats, All persons, SA2",census_quickstats_variable,candidate_predictor_after_review,QuickStats Census value parsed from public ABS SA2 QuickStats page. These are not full GCP cross-tab cells.
