relative_path,file_path,file_type,sheet_name,sample_row_count,column_count,columns,status,error,has_sa3_signal,has_sa4_signal,has_phn_signal,likely_region_columns,likely_measure_columns,likely_year_columns
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory README CSV METADATA AND USER GUIDE 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory README CSV METADATA AND USER GUIDE 2023-24.xlsx,xlsx,APC_COMMON_PROCEDURES,28,4,Machine readable file CSV filename: APC_COMMON_PROCEDURES_2324.csv | Unnamed: 1 | Unnamed: 2 | Unnamed: 3,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory README CSV METADATA AND USER GUIDE 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory README CSV METADATA AND USER GUIDE 2023-24.xlsx,xlsx,APC_PHN_SA4,29,4,Machine readable file CSV filename: APC_PHN_SA4_2324.csv | Unnamed: 1 | Unnamed: 2 | Unnamed: 3,pass,,False,False,False,Machine readable file CSV filename: APC_PHN_SA4_2324.csv,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,Table of contents,9,3,Mental health online report: Admitted mental health-related care | Unnamed: 1 | Unnamed: 2,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,General information,26,1,General information,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,Table AC.1,86,14,Mental health online report—Admitted mental health-related care | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,Table AC.2,200,15,Mental health online report—Admitted mental health-related care | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,Table AC.3,200,16,Mental health online report—Admitted mental health-related care | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14 | Unnamed: 15,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,Table AC.4,200,16,Mental health online report—Admitted mental health-related care | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14 | Unnamed: 15,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,Table AC.5,200,15,Mental health online report—Admitted mental health-related care | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,Table AC.6,200,16,Mental health online report—Admitted mental health-related care | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13 | Unnamed: 14 | Unnamed: 15,pass,,False,False,False,,,
Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_activity_data_downloads\extracted\Admitted-patient-care-state-and-territory-2023-24-data-files\Admitted patient care state and territory tables 2023-24.xlsx,xlsx,Table AC.7,82,14,Mental health online report—Admitted mental health-related care | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6 | Unnamed: 7 | Unnamed: 8 | Unnamed: 9 | Unnamed: 10 | Unnamed: 11 | Unnamed: 12 | Unnamed: 13,pass,,False,False,False,,,
