request_timestamp_utc,sa3_code_2021,sa3_name_2021,state_name_2021,year_requested,status,records_retrieved,raw_file,error
2026-06-18T02:31:34.770622+00:00,80101,Belconnen,Australian Capital Territory,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80101_belconnen_2021_22.csv,
2026-06-18T02:31:34.788207+00:00,80103,Canberra East,Australian Capital Territory,2021-22,cached,54,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80103_canberra_east_2021_22.csv,
2026-06-18T02:31:34.822495+00:00,80104,Gungahlin,Australian Capital Territory,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80104_gungahlin_2021_22.csv,
2026-06-18T02:31:34.850503+00:00,80105,North Canberra,Australian Capital Territory,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80105_north_canberra_2021_22.csv,
2026-06-18T02:31:34.879784+00:00,80106,South Canberra,Australian Capital Territory,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80106_south_canberra_2021_22.csv,
2026-06-18T02:31:34.911951+00:00,80107,Tuggeranong,Australian Capital Territory,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80107_tuggeranong_2021_22.csv,
2026-06-18T02:31:34.943045+00:00,80108,Weston Creek,Australian Capital Territory,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80108_weston_creek_2021_22.csv,
2026-06-18T02:31:34.969497+00:00,80109,Woden Valley,Australian Capital Territory,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80109_woden_valley_2021_22.csv,
2026-06-18T02:31:34.994565+00:00,80110,Molonglo,Australian Capital Territory,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80110_molonglo_2021_22.csv,
2026-06-18T02:31:35.010206+00:00,80111,Uriarra - Namadgi,Australian Capital Territory,2021-22,cached,30,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_80111_uriarra_namadgi_2021_22.csv,
2026-06-18T02:31:35.039454+00:00,10102,Queanbeyan,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10102_queanbeyan_2021_22.csv,
2026-06-18T02:31:35.064639+00:00,10103,Snowy Mountains,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10103_snowy_mountains_2021_22.csv,
2026-06-18T02:31:35.091463+00:00,10104,South Coast,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10104_south_coast_2021_22.csv,
2026-06-18T02:31:35.118712+00:00,10105,Goulburn - Mulwaree,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10105_goulburn_mulwaree_2021_22.csv,
2026-06-18T02:31:35.146093+00:00,10106,Young - Yass,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10106_young_yass_2021_22.csv,
2026-06-18T02:31:35.172906+00:00,10201,Gosford,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10201_gosford_2021_22.csv,
2026-06-18T02:31:35.198422+00:00,10202,Wyong,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10202_wyong_2021_22.csv,
2026-06-18T02:31:35.223495+00:00,10301,Bathurst,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10301_bathurst_2021_22.csv,
2026-06-18T02:31:35.249820+00:00,10302,Lachlan Valley,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10302_lachlan_valley_2021_22.csv,
2026-06-18T02:31:35.276897+00:00,10303,Lithgow - Mudgee,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10303_lithgow_mudgee_2021_22.csv,
2026-06-18T02:31:35.304888+00:00,10304,Orange,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10304_orange_2021_22.csv,
2026-06-18T02:31:35.335819+00:00,10401,Clarence Valley,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10401_clarence_valley_2021_22.csv,
2026-06-18T02:31:35.361232+00:00,10402,Coffs Harbour,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10402_coffs_harbour_2021_22.csv,
2026-06-18T02:31:35.392266+00:00,10501,Bourke - Cobar - Coonamble,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10501_bourke_cobar_coonamble_2021_22.csv,
2026-06-18T02:31:35.416089+00:00,10502,Broken Hill and Far West,New South Wales,2021-22,cached,150,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10502_broken_hill_and_far_west_2021_22.csv,
2026-06-18T02:31:35.444011+00:00,10503,Dubbo,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10503_dubbo_2021_22.csv,
2026-06-18T02:31:35.471462+00:00,10601,Lower Hunter,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10601_lower_hunter_2021_22.csv,
2026-06-18T02:31:35.496303+00:00,10602,Maitland,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10602_maitland_2021_22.csv,
2026-06-18T02:31:35.523536+00:00,10603,Port Stephens,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10603_port_stephens_2021_22.csv,
2026-06-18T02:31:35.549987+00:00,10604,Upper Hunter,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10604_upper_hunter_2021_22.csv,
2026-06-18T02:31:35.577334+00:00,10701,Dapto - Port Kembla,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10701_dapto_port_kembla_2021_22.csv,
2026-06-18T02:31:35.592917+00:00,10702,Illawarra Catchment Reserve,New South Wales,2021-22,cached,30,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10702_illawarra_catchment_reserve_2021_22.csv,
2026-06-18T02:31:35.620291+00:00,10703,Kiama - Shellharbour,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10703_kiama_shellharbour_2021_22.csv,
2026-06-18T02:31:35.647428+00:00,10704,Wollongong,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10704_wollongong_2021_22.csv,
2026-06-18T02:31:35.675198+00:00,10801,Great Lakes,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10801_great_lakes_2021_22.csv,
2026-06-18T02:31:35.705725+00:00,10802,Kempsey - Nambucca,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10802_kempsey_nambucca_2021_22.csv,
2026-06-18T02:31:48.523176+00:00,10803,Lord Howe Island,New South Wales,2021-22,success_no_profile_rows,0,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10803_lord_howe_island_2021_22.csv,
2026-06-18T02:31:49.554591+00:00,10804,Port Macquarie,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10804_port_macquarie_2021_22.csv,
2026-06-18T02:31:49.582300+00:00,10805,Taree - Gloucester,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10805_taree_gloucester_2021_22.csv,
2026-06-18T02:31:49.606566+00:00,10901,Albury,New South Wales,2021-22,cached,182,D:\Good Measure\MentalWellbeingbyGeography\data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_10901_albury_2021_22.csv,
