reference_period,row_count,within_target_window,absolute_days_from_target
2019-03-01,2292,False,1036
2019-06-01,2292,False,944
2019-09-01,2292,False,852
2019-12-01,2292,False,761
2020-03-01,2292,False,670
2020-06-01,2292,False,578
2020-09-01,2292,False,486
2020-12-01,2292,False,395
2021-03-01,2292,True,305
2021-06-01,2292,True,213
2021-09-01,2292,True,121
2021-12-01,2292,True,30
2022-03-01,2292,True,60
2022-06-01,2292,True,152
2022-09-01,2292,False,244
2022-12-01,2292,False,335
2023-03-01,2292,False,425
