source_family,page_url,status_code,candidate_url,candidate_text,candidate_kind,notes
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,source_page,source_page,text/html; charset=UTF-8
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files#content,Skip to main content,link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files#main-nav-default,Skip to main navigation,link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://x.com/share?text=Primary Health Networks (PHNs) collection of concordance files&url=https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,X (Twitter),link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://facebook.com/sharer.php?u=https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,Facebook,link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,mailto:?subject=Primary Health Networks (PHNs) collection of concordance files&body=https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,Email,link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2017-statistical-area-level-2-2016?language=en,Primary Health Networks (PHN) (2017) – Statistical Area Level 2 (2016),link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2023-statistical-area-level-1-2021?language=en,Primary Health Networks (PHN) (2023) – Statistical Area Level 1 (2021),link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2023-statistical-area-level-2-2021?language=en,Primary Health Networks (PHN) (2023) – Statistical Area Level 2 (2021),link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2023-statistical-area-level-3-2021?language=en,Primary Health Networks (PHN) (2023) – Statistical Area Level 3 (2021),link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2017-concordance-files-australian-statistical-geography-standards-2016-statistical-area-level-2?language=en,Primary Health Networks (PHN) (2017) – concordance files – Australian Statistical Geography Standards (2016) – Statistical Area Level 2,link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2017-concordance-files-australian-statistical-geography-standards-2021-statistical-area-level-1?language=en,Primary Health Networks (PHN) (2017) – concordance files – Australian Statistical Geography Standards (2021) - Statistical Area Level 1,link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2017-concordance-files-australian-statistical-geography-standards-2021-statistical-area-level-2?language=en,Primary Health Networks (PHN) (2017) – concordance files – Australian Statistical Geography Standards (2021) - Statistical Area Level 2,link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2017-concordance-files-australian-statistical-geography-standards-2021-statistical-area-level-3?language=en,Primary Health Networks (PHN) (2017) – concordance files – Australian Statistical Geography Standards (2021) - Statistical Area Level 3,link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2023-local-government-areas-2021?language=en,Primary Health Networks (PHN) (2023) – Local Government Areas (2021),link,keyword/download candidate
phn_bridge_to_sa2,https://www.health.gov.au/resources/collections/primary-health-networks-phns-collection-of-concordance-files,200,https://www.health.gov.au/resources/publications/primary-health-networks-phn-2017-concordance-files-local-government-areas-2021?language=en,Primary Health Networks (PHN) (2017) – concordance files – Local Government Areas (2021),link,keyword/download candidate
