column_name,normalised_column_name,matched_patterns,non_missing_count,numeric_parse_rate,min_numeric,max_numeric,source_hint
dss_sa2_2021_allocated_commonwealth_rent_assistance_recipients,dss_sa2_2021_allocated_commonwealth_rent_assistance_recipients,rent,2454,0.9927184466019418,0.0,3468.0,existing_master_other
dss_sa2_2021_allocated_parenting_payment_partnered_recipients,dss_sa2_2021_allocated_parenting_payment_partnered_recipients,rent,2454,0.9927184466019418,0.0,391.0,existing_master_other
dss_sa2_2021_allocated_parenting_payment_single_recipients,dss_sa2_2021_allocated_parenting_payment_single_recipients,rent,2454,0.9927184466019418,0.0,740.0,existing_master_other
dss_sa2_2021_allocated_youth_allowance_student_and_apprentice_recipients,dss_sa2_2021_allocated_youth_allowance_student_and_apprentice_recipients,rent,2454,0.9927184466019418,0.0,722.0,existing_master_other
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_average_number_of_people_per_bedroom_count,census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_average_number_of_peop,dwelling,2341,0.9470064724919094,0.0,2.1,existing_master_quickstats_or_prior_layer
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_average_number_of_people_per_household_count,census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_average_number_of_peop,dwelling,2341,0.9470064724919094,0.0,8.0,existing_master_quickstats_or_prior_layer
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_median_weekly_household_income_count,census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_dwelling_characteristics_occupied_p_median_weekly_househol,dwelling,2341,0.9470064724919094,0.0,4916.0,existing_master_quickstats_or_prior_layer
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_mortgage_and_rent_occupied_private_median_monthly_mortgage_repayments_count,census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_mortgage_and_rent_occupied_private_median_monthly_mortgage,rent; mortgage,2341,0.9470064724919094,0.0,7000.0,existing_master_quickstats_or_prior_layer
census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_mortgage_and_rent_occupied_private_median_weekly_rent_count,census_qs_aboriginal_and_or_torres_strait_isl_unnamed_unnamed_mortgage_and_rent_occupied_private_median_weekly_rent_coun,rent; mortgage,2341,0.9470064724919094,0.0,1200.0,existing_master_quickstats_or_prior_layer
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_count,census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_count,rent,2341,0.9470064724919094,0.0,1339.0,existing_master_quickstats_or_prior_layer
census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_pct,census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_pct,rent,2341,0.9470064724919094,0.0,72.1,existing_master_quickstats_or_prior_layer
census_qs_breadcrumb_unnamed_unnamed_0_all_private_dwellings_count,census_qs_breadcrumb_unnamed_unnamed_0_all_private_dwellings_count,dwelling,2393,0.968042071197411,0.0,20509.0,existing_master_quickstats_or_prior_layer
census_qs_breadcrumb_unnamed_unnamed_0_average_number_of_motor_vehicles_per_dwelling_count,census_qs_breadcrumb_unnamed_unnamed_0_average_number_of_motor_vehicles_per_dwelling_count,dwelling,2393,0.968042071197411,0.0,6.0,existing_master_quickstats_or_prior_layer
census_qs_breadcrumb_unnamed_unnamed_0_median_monthly_mortgage_repayments_count,census_qs_breadcrumb_unnamed_unnamed_0_median_monthly_mortgage_repayments_count,mortgage,2393,0.968042071197411,0.0,9999.0,existing_master_quickstats_or_prior_layer
census_qs_breadcrumb_unnamed_unnamed_0_median_weekly_rent_count,census_qs_breadcrumb_unnamed_unnamed_0_median_weekly_rent_count,rent,2393,0.968042071197411,0.0,1200.0,existing_master_quickstats_or_prior_layer
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_in_australia_count,census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_in_australia_count,rent,2341,0.9470064724919094,47.0,17821.0,existing_master_quickstats_or_prior_layer
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_in_australia_pct,census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_in_australia_pct,rent,2341,0.9470064724919094,2.3,96.3,existing_master_quickstats_or_prior_layer
