output_column,candidate_column,normalised_column,score,required_terms,suffix,ambiguous_top_match
housing_qs_median_weekly_rent,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_median_rent_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_median_rent_count,125,census_qs_housing | rent_weekly_payments | median_rent,_count,False
housing_qs_median_monthly_mortgage_repayments,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_median_mortgage_repayments_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_median_mortgage_repayments_count,125,census_qs_housing | mortgage_monthly_repayments | median_mortgage_repayments,_count,False
housing_qs_renter_households_rent_gt_30_income_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_count,125,census_qs_housing | rent_weekly_payments | renter_households_with_rent_payments_greater_than_30,_count,False
housing_qs_renter_households_rent_gt_30_income_pct,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_pct,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_with_rent_payments_greater_than_30_of_pct,125,census_qs_housing | rent_weekly_payments | renter_households_with_rent_payments_greater_than_30,_pct,False
housing_qs_renter_households_rent_le_30_income_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_count,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_count,125,census_qs_housing | rent_weekly_payments | renter_households_where_rent_payments_are_less_than_or,_count,False
housing_qs_renter_households_rent_le_30_income_pct,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_pct,census_qs_housing_unnamed_unnamed_rent_weekly_payments_occupied_priva_renter_households_where_rent_payments_are_less_than_or_pct,125,census_qs_housing | rent_weekly_payments | renter_households_where_rent_payments_are_less_than_or,_pct,False
housing_qs_mortgaged_households_repayment_gt_30_income_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_count,125,census_qs_housing | mortgage_monthly_repayments | owner_with_mortgage_households_with_mortgage_repayments,_count,False
housing_qs_mortgaged_households_repayment_gt_30_income_pct,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_pct,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_with_mortgage_repayments_pct,125,census_qs_housing | mortgage_monthly_repayments | owner_with_mortgage_households_with_mortgage_repayments,_pct,False
housing_qs_mortgaged_households_repayment_le_30_income_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_count,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_count,125,census_qs_housing | mortgage_monthly_repayments | owner_with_mortgage_households_where_mortgage_repayment,_count,False
housing_qs_mortgaged_households_repayment_le_30_income_pct,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_pct,census_qs_housing_unnamed_unnamed_mortgage_monthly_repayments_occupie_owner_with_mortgage_households_where_mortgage_repayment_pct,125,census_qs_housing | mortgage_monthly_repayments | owner_with_mortgage_households_where_mortgage_repayment,_pct,False
