source_family,source_path,source_table,native_geography,status,rows,columns,key_columns_detected,output_csv,output_parquet,parquet_status,reason,caveat
abs_sa2_spine_2021,data\processed\spines\sa2_2021_spine.parquet,abs_sa2_spine_2021,sa2,copied_existing_processed_native_table,2472,13,sa2_code_2021;sa3_code_2021;sa4_code_2021,data\processed\native\sa2\abs_sa2_spine_2021__native_copy__v20.csv,data\processed\native\sa2\abs_sa2_spine_2021__native_copy__v20.parquet,written,existing processed source table copied into native geography layer,Review lineage and key uniqueness before scoped master build.
abs_seifa_sa2_2021,data\processed\sources\sa2_seifa_2021.parquet,abs_seifa_sa2_2021,sa2,copied_existing_processed_native_table,2472,51,sa2_code_2021;seifa_ieo_decile_australia;seifa_ieo_decile_australia_2;seifa_ieo_percentile_australia;seifa_ieo_percentile_australia_3;seifa_ieo_rank_australia;seifa_ieo_rank_australia_2;seifa_ier_decile_australia;seifa_ier_decile_australia_2;seifa_ier_percentile_australia;seifa_ier_percentile_australia_3;seifa_ier_rank_australia;seifa_ier_rank_australia_2;seifa_irsad_decile_australia;seifa_irsad_decile_australia_2;seifa_irsad_percentile_australia;seifa_irsad_percentile_australia_3;seifa_irsad_rank_australia;seifa_irsad_rank_australia_2;seifa_irsd_decile_australia;seifa_irsd_decile_australia_2;seifa_irsd_percentile_australia;seifa_irsd_percentile_australia_3;seifa_irsd_rank_australia;seifa_irsd_rank_australia_2,data\processed\native\sa2\abs_seifa_sa2_2021__native_copy__v20.csv,data\processed\native\sa2\abs_seifa_sa2_2021__native_copy__v20.parquet,written,existing processed source table copied into native geography layer,Review lineage and key uniqueness before scoped master build.
abs_remoteness_sa2_2021,data\processed\sources\sa2_remoteness_2021.parquet,abs_remoteness_sa2_2021,sa2,copied_existing_processed_native_table,2472,14,sa2_code_2021,data\processed\native\sa2\abs_remoteness_sa2_2021__native_copy__v20.csv,data\processed\native\sa2\abs_remoteness_sa2_2021__native_copy__v20.parquet,written,existing processed source table copied into native geography layer,Review lineage and key uniqueness before scoped master build.
abs_nsmhw_sa2_modelled_2020_22,data\processed\sources\sa2_nsmhw_modelled_estimates_2020_22_wide.parquet,abs_nsmhw_sa2_modelled_2020_22,sa2,copied_existing_processed_native_table,2472,48,sa2_code_2021,data\processed\native\sa2\abs_nsmhw_sa2_modelled_2020_22__native_copy__v20.csv,data\processed\native\sa2\abs_nsmhw_sa2_modelled_2020_22__native_copy__v20.parquet,written,existing processed source table copied into native geography layer,Review lineage and key uniqueness before scoped master build.
abs_census_quickstats_sa2_2021,data\processed\sources\sa2_census_2021_quickstats_variables.parquet,abs_census_quickstats_sa2_2021,sa2,copied_existing_processed_native_table,2393,1678,census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_count;census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_currently_serving_pct;census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_has_never_served_count;census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_has_never_served_pct;census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_not_stated_count;census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_not_stated_pct;census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_previously_served_count;census_qs_australian_defence_force_service_unnamed_unnamed_australian_defence_force_service_pe_previously_served_pct;census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_aboriginal_count;census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_aboriginal_pct;census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_count;census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_pct;census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_south_sea_islander_count;census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_australian_south_sea_islander_pct;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_australia_count;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_australia_pct;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_australia_count;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_australia_pct;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_austria_count;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_austria_pct;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_in_australia_count;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_parents_all_peo_both_parents_born_in_australia_pct;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_australia_count;census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_australia_pct;census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_australian_indigenous_languages_nfd_count;census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_australian_indigenous_languages_nfd_pct;census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_other_australian_indigenous_languages_nec_count;census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_other_australian_indigenous_languages_nec_pct;census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_southeast_asian_austronesian_languages_nfd_count;census_qs_cultural_diversity_unnamed_unnamed_language_used_at_home_top_responses_southeast_asian_austronesian_languages_nfd_pct;census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_australian_aboriginal_traditional_religions_count;census_qs_cultural_diversity_unnamed_unnamed_religious_affiliation_top_responses_australian_aboriginal_traditional_religions_pct;census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_local_government_administration_count;census_qs_income_and_work_unnamed_unnamed_industry_of_employment_top_response_local_government_administration_pct;sa2_code_2021,data\processed\native\sa2\abs_census_quickstats_sa2_2021__native_copy__v20.csv,data\processed\native\sa2\abs_census_quickstats_sa2_2021__native_copy__v20.parquet,written,existing processed source table copied into native geography layer,Review lineage and key uniqueness before scoped master build.
dss_social_security_sa2_2021,,dss_social_security_sa2_2021,sa2,not_found_optional_processed_source,0,0,,,,,candidate processed source file not found,
housing_quickstats_sa2_derived,,housing_quickstats_sa2_derived,sa2,not_found_optional_processed_source,0,0,,,,,candidate processed source file not found,
aihw_regional_profiles_sa3_2021_22,data\processed\sources\sa3_aihw_regional_profiles_selected_measures_2021_22.parquet,aihw_regional_profiles_sa3_2021_22,sa3,copied_existing_processed_native_table,335,40,sa3_code_2021,data\processed\native\sa3\aihw_regional_profiles_sa3_2021_22__native_copy__v20.csv,data\processed\native\sa3\aihw_regional_profiles_sa3_2021_22__native_copy__v20.parquet,written,existing processed source table copied into native geography layer,Review lineage and key uniqueness before scoped master build.
aihw_regional_profiles_sa3_long_2021_22,data\processed\sources\sa3_aihw_regional_profiles_long_2021_22.parquet,aihw_regional_profiles_sa3_long_2021_22,sa3,copied_existing_processed_native_table,59074,18,sa3_code_2021,data\processed\native\sa3\aihw_regional_profiles_sa3_long_2021_22__native_copy__v20.csv,data\processed\native\sa3\aihw_regional_profiles_sa3_long_2021_22__native_copy__v20.parquet,written,existing processed source table copied into native geography layer,Review lineage and key uniqueness before scoped master build.
phidu_lga_context_selected_v12,data\processed\sources\phidu_lga_context_selected_wide_v12.parquet,phidu_lga_context_selected_v12,lga,copied_existing_processed_native_table,442,88,phidu_lga_housing_transport_households_receiving_rent_assistance_from_the_australian_governme,data\processed\native\lga\phidu_lga_context_selected_v12__native_copy__v20.csv,data\processed\native\lga\phidu_lga_context_selected_v12__native_copy__v20.parquet,written,existing processed source table copied into native geography layer,Review lineage and key uniqueness before scoped master build.
