native_geography,relative_path,file_size_mb,estimated_rows
lga,data\processed\native\lga\abs_homelessness__abs_homelessness_census_tablebuilder_001_download_xls_412_kb__employment_income_unpaid_work__v20.csv,0.018605,99
lga,data\processed\native\lga\phidu_lga_context_selected_v12__native_copy__v20.csv,0.415667,442
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__aboriginal_females__v20.csv,0.158229,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__aboriginal_males__v20.csv,0.15642,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__aboriginal_persons__v20.csv,0.162242,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admiss_principal_diag_females__v20.csv,0.64953,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admiss_principal_diag_males__v20.csv,0.61831,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admiss_principal_diag_persons__v20.csv,0.699683,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admiss_principal_ext_females__v20.csv,0.223696,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admiss_principal_ext_males__v20.csv,0.222802,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admiss_principal_ext_persons__v20.csv,0.266885,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admissions_prevent_diag_acute__v20.csv,0.251855,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admissions_prevent_diag_total__v20.csv,0.26889,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admissions_prevent_diag_vaccin__v20.csv,0.116681,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admissions_procedures__v20.csv,0.485152,598
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__admissions_same_day_renal__v20.csv,0.106834,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__age_distribution_females__v20.csv,0.348513,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__age_distribution_females_broad__v20.csv,0.202673,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__age_distribution_males__v20.csv,0.347604,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__age_distribution_males_broad__v20.csv,0.201378,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__age_distribution_persons__v20.csv,0.355757,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__age_distribution_persons_broad__v20.csv,0.205885,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__aged_care_places__v20.csv,0.082402,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__avoidable_mortality_by_cause__v20.csv,0.767901,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__avoidable_mortality_by_sex__v20.csv,0.249989,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__birthplace_nes_residents__v20.csv,0.172736,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__birthplace_top_ten_nes__v20.csv,0.217676,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__cancer_incidence_females__v20.csv,0.594121,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__cancer_incidence_males__v20.csv,0.657982,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__cancer_incidence_persons__v20.csv,0.494763,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__census_condition_type_adults__v20.csv,0.345051,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__census_condition_type_children__v20.csv,0.145586,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__census_condition_type_total__v20.csv,0.344592,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__census_disability__v20.csv,0.186294,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__census_health_condition_adults__v20.csv,0.203329,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__census_health_condition_child__v20.csv,0.16889,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__census_health_condition_total__v20.csv,0.203436,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__child_care__v20.csv,0.117044,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__child_youth_health__v20.csv,0.176137,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__chsp__v20.csv,0.502333,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__cmhcs_by_principal_diag__v20.csv,0.292426,596
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__cmhcs_by_sex__v20.csv,0.156694,596
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__early_childhood_development__v20.csv,0.331944,596
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__education__v20.csv,0.415105,599
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__estimates_risk_factors_adults__v20.csv,1.460621,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__estimates_risk_factors_children__v20.csv,0.42607,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__estimates_self_assessed_health__v20.csv,0.138641,597
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__families__v20.csv,0.128244,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__front_page__v20.csv,0.000732,3
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__health_workforce__v20.csv,0.257631,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__homelessness__v20.csv,0.089214,595
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__hosp_type_sex__v20.csv,0.265899,598
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__housing_transport__v20.csv,0.316219,596
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__income_support__v20.csv,0.3368,596
lga,data\processed\native\lga\phidu_raw__phidu_official_lga_australia__irsd__v20.csv,0.072189,595
