file_path,status,file_size_bytes,period_tokens_found,candidate_path_count,target_score,target_hits_json
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\ndia_explore_candidate_hits.csv,pass,83632,2526_q3,46,32,"{""period_2021_22"": [""2021"", ""2022""], ""geography"": [""lga"", ""local government area"", ""region"", ""sa2"", ""service district""], ""psychosocial"": [""primary disability"", ""psychosocial""], ""participant_plan"": [""active participants"", ""average committed"", ""committed supports"", ""participant"", ""participants"", ""support category"", ""support class"", ""total committed""], ""utilisation_payment"": [""average payments"", ""payment"", ""payments"", ""total payments"", ""utilisation""], ""provider_market"": [""active providers"", ""concentration"", ""market"", ""market concentration"", ""participants per provider"", ""provider"", ""provider growth"", ""provider shrinkage"", ""providers"", ""top 10""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\ndia_explore_candidate_responses.csv,pass,94385,2526_q3,26,32,"{""period_2021_22"": [""2021"", ""2022""], ""geography"": [""lga"", ""local government area"", ""region"", ""sa2"", ""service district""], ""psychosocial"": [""primary disability"", ""psychosocial""], ""participant_plan"": [""active participants"", ""average committed"", ""committed supports"", ""participant"", ""participants"", ""support category"", ""support class"", ""total committed""], ""utilisation_payment"": [""average payments"", ""payment"", ""payments"", ""total payments"", ""utilisation""], ""provider_market"": [""active providers"", ""concentration"", ""market"", ""market concentration"", ""participants per provider"", ""provider"", ""provider growth"", ""provider shrinkage"", ""providers"", ""top 10""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\ndia_explore_dom_initial.json,pass,44508,2425_q4 | 2526_q1 | 2526_q2 | 2526_q3,2,25,"{""geography"": [""lga"", ""sa2"", ""service district""], ""psychosocial"": [""primary disability""], ""participant_plan"": [""active participants"", ""average committed"", ""committed supports"", ""participant"", ""participants"", ""support category"", ""support class"", ""total committed""], ""utilisation_payment"": [""average payments"", ""payment"", ""payments"", ""total payments"", ""utilisation""], ""provider_market"": [""active providers"", ""concentration"", ""market"", ""participants per provider"", ""provider"", ""provider growth"", ""provider shrinkage"", ""providers""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\ndia_explore_downloads.csv,pass,6810,,0,14,"{""period_2021_22"": [""2021""], ""geography"": [""sa2""], ""psychosocial"": [""diagnosis"", ""psychosocial""], ""participant_plan"": [""participant"", ""participants"", ""plan budget""], ""utilisation_payment"": [""payment"", ""payments"", ""utilisation""], ""provider_market"": [""active providers"", ""market"", ""provider"", ""providers""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\ndia_explore_network_requests.csv,pass,344679,2526_q3,26,14,"{""period_2021_22"": [""2021""], ""geography"": [""lga"", ""region"", ""sa2""], ""psychosocial"": [""diagnosis"", ""psychosocial""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments"", ""utilisation""], ""provider_market"": [""market"", ""provider"", ""providers""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\ndia_explore_network_responses.csv,pass,620499,2526_q3,26,32,"{""period_2021_22"": [""2021"", ""2022""], ""geography"": [""lga"", ""local government area"", ""region"", ""sa2"", ""service district""], ""psychosocial"": [""primary disability"", ""psychosocial""], ""participant_plan"": [""active participants"", ""average committed"", ""committed supports"", ""participant"", ""participants"", ""support category"", ""support class"", ""total committed""], ""utilisation_payment"": [""average payments"", ""payment"", ""payments"", ""total payments"", ""utilisation""], ""provider_market"": [""active providers"", ""concentration"", ""market"", ""market concentration"", ""participants per provider"", ""provider"", ""provider growth"", ""provider shrinkage"", ""providers"", ""top 10""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\all_region.json,pass,27764,,0,7,"{""geography"": [""region""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\gtm.js,pass,415974,,0,5,"{""period_2021_22"": [""2022""], ""geography"": [""region""], ""utilisation_payment"": [""payment""], ""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\js_3JQ2JL_gRek1sBMirTDO562QpeKpQGJicRDxWEYfRJE.js,pass,328136,,0,4,"{""period_2021_22"": [""2021"", ""2022""], ""geography"": [""region""], ""provider_market"": [""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\js_LbBO86F3tqhL8vHl4Pt-jIUhf1oS_gmmbcdU_TkkZNU.js,pass,41974,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\language-slider-b4647329e45ca0847fe3.js,pass,498,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\last-section-70917d432d42f1b53c4d.js,pass,845,,0,1,"{""geography"": [""region""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\main.4fd62d8a.js,pass,982919,2425_q4 | 2526_q1 | 2526_q2 | 2526_q3,0,2,"{""provider_market"": [""market"", ""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\menu-main-b9a018e08f2ebad6d859.js,pass,8762,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\mmenu-07a36758efb381832999.js,pass,2955,,0,0,{}
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\ndia-ncc-webchat-widget.js,pass,470365,,0,3,"{""participant_plan"": [""participant""], ""utilisation_payment"": [""payment""], ""provider_market"": [""provider""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\provider-search-8ce008ec617ad8f64458.js,pass,672,,0,4,"{""participant_plan"": [""participant"", ""participants""], ""provider_market"": [""provider"", ""providers""]}"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\responses\response_00001_be03dd223687.txt,pass,31397,,2,7,"{""geography"": [""region""], ""participant_plan"": [""participant"", ""participants""], ""utilisation_payment"": [""payment"", ""payments""], ""provider_market"": [""market"", ""provider""]}"
