inventory_timestamp_utc,source_origin,source_run,source_family,poc_family_group,manifest_source_family,file_path,file_name,file_suffix,file_size_bytes,file_modified_utc,sha256,link_text,source_page_url,download_url,text_period_min,text_period_max,text_period_source,columns_detected,sheet_names,sample_row_count,column_count,content_period_min,content_period_max,content_period_columns,content_period_source,inspect_status,inspect_error,has_sa2_signal,has_sa3_signal,has_sa4_signal,has_lga_signal,has_service_district_signal,has_phn_signal,has_state_signal,has_postcode_signal,has_psychosocial_signal,has_disability_signal,has_support_category_signal,has_support_class_signal,has_participant_signal,has_payment_signal,has_provider_signal,has_market_signal,has_plan_budget_signal,has_utilisation_signal,period_min,period_max,period_basis,period_source,period_sort_date,join_readiness,join_readiness_reason,primary_model_use,poc_sensitivity_use,time_alignment_status,time_alignment_note,selection_status,selection_rule,staged_file_path,staged_file_name
2026-06-19T02:42:35.693997+00:00,public_data_downloads,,active_providers,provider_context,active_providers,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\active_providers__Active_providers_data_June_2024_2_.csv,active_providers__Active_providers_data_June_2024_2_.csv,.csv,13493217,2026-06-19T00:47:21.188935+00:00,9db724c8cb22f6d83f85611d4b0fd062718378473e7320780d483662f27bda35,Active providers data as at 30 June 2024 (CSV 12.9MB),https://dataresearch.ndis.gov.au/datasets/provider-datasets,https://dataresearch.ndis.gov.au/media/4105/download?attachment,2024-06-30,2024-06-30,detected_from_filename_or_metadata,RprtDt | statecd | SrvcDstrctNm | DsbltyGrpNm | AgeBnd | SuppClass | ActvIn | PrvdrCnt,,5000,8,2024-06-30,2024-06-30,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,2024-06-30,2024-06-30,content,detected_from_content_date_columns,2024-06-30,context_only_unbridged,Contains LGA/service district/PHN signal. Hold aside until bridge is validated.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\active_providers__2024-06-30__active_providers__Active_providers_data_June_2024_2_.csv,active_providers__2024-06-30__active_providers__Active_providers_data_June_2024_2_.csv
2026-06-19T02:42:35.735826+00:00,public_data_downloads,,baseline_outcomes,participant_context,other_download,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\other_download__Baseline_Outcomes_data.csv,other_download__Baseline_Outcomes_data.csv,.csv,67917,2026-06-19T00:47:01.908686+00:00,e74debc121bcb05d8fcf9d6cd6de5954b9aa0d954c956fe6bf676e1fa3ce7a1e,Baseline Outcomes data (CSV 67KB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4223/download?attachment,,,not_detected,RprtDt | StateCd | Questionnaire | Indicator number | Indicator description | Percentage,,594,6,2026-03-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2026-03-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,context_only_state,State-level only. Do not join to SA2 master.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\baseline_outcomes__2026-03-31__other_download__Baseline_Outcomes_data.csv,baseline_outcomes__2026-03-31__other_download__Baseline_Outcomes_data.csv
2026-06-19T02:42:36.641743+00:00,public_data_downloads,,cald_participants,equity_context,participant_other,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__Culturally_and_linguistically_diverse_participants.csv,participant_other__Culturally_and_linguistically_diverse_participants.csv,.csv,36396,2026-06-19T00:46:59.874781+00:00,24533a801788bd2d74e59d4cb86a85a10be854cc3a508aee1f3d55cedd85eb5a,Culturally and linguistically diverse participants (CSV 36KB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4225/download?attachment,,,not_detected,RprtDt | StateCd | MMMCd | AvgAnlsdCmtdSuppBdgt | PrtcpntCnt,,1072,5,2021-12-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2021-12-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,context_only_state,State-level only. Do not join to SA2 master.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\cald_participants__2026-03-31__participant_other__Culturally_and_linguistically_diverse_participants.csv,cald_participants__2026-03-31__participant_other__Culturally_and_linguistically_diverse_participants.csv
2026-06-19T02:42:35.840082+00:00,public_data_downloads,,diagnosis,participant_disability_context,participants_count_by_diagnosis,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv,participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv,.csv,1723538,2026-06-19T00:46:43.011080+00:00,5a85aa4de57bb8379b0de5f1601c97f70f25ec1dded152cca9825bf7a23fbb9e,Participants count by diagnosis data (CSV 1.7MB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4245/download?attachment,,,not_detected,RprtDt | StateCd | NDISDsbltyGrpNm | ICDDsbltyNm | Primary | Reported,,5000,6,2025-12-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,2025-12-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,context_only_state,State-level only. Do not join to SA2 master.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\diagnosis__2026-03-31__participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv,diagnosis__2026-03-31__participants_count_by_diagnosis__Participants_count_by_diagnosis_data.csv
2026-06-19T02:42:36.658132+00:00,public_data_downloads,,first_nations_participants,equity_context,participant_other,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__First_Nations_participants.csv,participant_other__First_Nations_participants.csv,.csv,52965,2026-06-19T00:46:59.272189+00:00,24b0571221e6f8e9a34ca3ebe3202fae5bdcd5d90e9d61ec04a279b3351c1998,First Nations participants (CSV 52KB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4227/download?attachment,,,not_detected,RprtDt | StateCd | MMMCd | AvgAnlsdCmtdSuppBdgt | PrtcpntCnt,,1546,5,2020-03-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2020-03-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,context_only_state,State-level only. Do not join to SA2 master.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\first_nations_participants__2026-03-31__participant_other__First_Nations_participants.csv,first_nations_participants__2026-03-31__participant_other__First_Nations_participants.csv
2026-06-19T02:42:35.727552+00:00,public_data_downloads,,market_concentration,market_context,market_concentration,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\market_concentration__Market_Concentration_data.csv,market_concentration__Market_Concentration_data.csv,.csv,778149,2026-06-19T00:47:21.847686+00:00,820f4c821bf6ab0748467214e8cfe0bb15c905619a3f8ce6c33114a6a6d5258a,Market Concentration data (CSV 760KB),https://dataresearch.ndis.gov.au/datasets/provider-datasets,https://dataresearch.ndis.gov.au/media/4231/download?attachment,,,not_detected,RprtDt | StateCd | SrvcDstrctNm | SuppClass | PymntShareOfTop10 | PymntBnd,,5000,6,2025-03-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,2025-03-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,context_only_unbridged,Contains LGA/service district/PHN signal. Hold aside until bridge is validated.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\market_concentration__2026-03-31__market_concentration__Market_Concentration_data.csv,market_concentration__2026-03-31__market_concentration__Market_Concentration_data.csv
2026-06-19T02:43:24.588148+00:00,explore_data_tool_capture,ndia_explore_q4_fy2021_22_sa2_capture,market_insights,market_context,,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\explore_data_tool_capture\ndia_explore_q4_fy2021_22_sa2_capture\downloads\202112_01_The_NDIS_Market_Insights_Dashboard_-_data.csv,202112_01_The_NDIS_Market_Insights_Dashboard_-_data.csv,.csv,16673,2026-06-19T01:02:03.539179+00:00,1d852130e2a99e873f0a5ce7c1eb13dcef0b46d4369daac86eaac5a2f36e921d,,,,2021-12-31,2021-12-31,detected_from_filename_or_metadata,Performance against corporate targets | Unnamed: 1 | Unnamed: 2 | Unnamed: 3 | Unnamed: 4 | Unnamed: 5 | Unnamed: 6,,431,7,,,,no_parseable_date_columns,pass,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2021-12-31,2021-12-31,filename_or_link_text,detected_from_filename_or_metadata,2021-12-31,context_only_review,Market source. Review geography and aggregation before use.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\market_insights__2021-12-31__202112_01_The_NDIS_Market_Insights_Dashboard_-_data.csv,market_insights__2021-12-31__202112_01_The_NDIS_Market_Insights_Dashboard_-_data.csv
2026-06-19T02:42:36.671631+00:00,public_data_downloads,,other_ndia_public,other_context,participant_other,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_other__Participants_by_CED_data.csv,participant_other__Participants_by_CED_data.csv,.csv,73280,2026-06-19T00:47:06.272377+00:00,bc30ba3d8ba475ac87b2c323d51f56528d647a191d125f509c923be58fff1e3c,Participants by CED data (CSV 72KB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4235/download?attachment,,,not_detected,RprtDt | StateCd | CEDNm2021 | CEDNm2024 | PrtcpntCnt,,2562,5,2023-03-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2023-03-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,context_only_state,State-level only. Do not join to SA2 master.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\other_ndia_public__2026-03-31__participant_other__Participants_by_CED_data.csv,other_ndia_public__2026-03-31__participant_other__Participants_by_CED_data.csv
2026-06-19T02:42:35.862284+00:00,public_data_downloads,,participant_numbers_plan_budgets,plan_budget_context,participant_numbers_plan_budgets,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,.csv,7113872,2026-06-19T00:46:26.325571+00:00,c8cdc62e0b10c91162da4947b7160b1dbeab44b481e538848baf338858394c43,Participant numbers and plan budgets data June 2024 (CSV 6.8MB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4024/download?attachment,2024-06-30,2024-06-30,detected_from_filename_or_metadata,RprtDt | StateCd | SrvcDstrctNm | DsbltyGrpNm | AgeBnd | SuppClass | AvgAnlsdCmtdSuppBdgt | ActvPrtcpnt,,5000,8,2024-06-30,2024-06-30,RprtDt,detected_from_content_date_columns,pass,,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,2024-06-30,2024-06-30,content,detected_from_content_date_columns,2024-06-30,context_only_unbridged,Contains LGA/service district/PHN signal. Hold aside until bridge is validated.,exclude_from_primary_2021_aligned_model,hold_for_descriptive_context_or_bridge_validation,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\participant_numbers_plan_budgets__2024-06-30__participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv,participant_numbers_plan_budgets__2024-06-30__participant_numbers_plan_budgets__Participant_numbers_and_plan_budgets_data._June_2024.csv
2026-06-19T02:42:35.801473+00:00,public_data_downloads,,participants_by_sa2,participant_context,participants_by_sa2,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_data_downloads\downloads\participants_by_sa2__Participants_by_SA2_data.csv,participants_by_sa2__Participants_by_SA2_data.csv,.csv,2716972,2026-06-19T00:47:04.525057+00:00,5bfd72edf8bca195466758ebe2b0866f6120dfc7c4b05898582360106bac9857,Participants by SA2 data (CSV 2.5MB),https://dataresearch.ndis.gov.au/datasets/participant-datasets,https://dataresearch.ndis.gov.au/media/4319/download?attachment,,,not_detected,RprtDt | StateCd | SA2Cd2016 | SA2Nm2016 | PrtcpntCnt,,5000,5,2026-03-31,2026-03-31,RprtDt,detected_from_content_date_columns,pass,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2026-03-31,2026-03-31,content,detected_from_content_date_columns,2026-03-31,joinable_now_sa2,Contains SA2 signal. Can be processed for proof-of-concept SA2 context if columns validate.,exclude_from_primary_2021_aligned_model,eligible_for_ndia_public_poc_sensitivity_or_demonstration_layer,time_misaligned_public_ndia_poc_layer,NDIA public source period does not define the 2021-aligned primary model. Use only as proof-of-concept service-system context unless separately justified.,selected_earliest_public_available_for_family,Earliest detected public source period per NDIA source family; SA2/SA3 joinable sources preferred where available; all selected sources remain excluded from primary aligned model.,D:\Good Measure\MentalWellbeingbyGeography\data\raw\ndia\public_poc_selected\participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv,participants_by_sa2__2026-03-31__participants_by_sa2__Participants_by_SA2_data.csv
