file_path,file_name,read_status,phn_score,lga_score,lhd_score,original_columns,cleaned_columns
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SA2_2021_AUST.xlsx,SA2_2021_AUST.xlsx,read_ok,23,23,23,SA2_CODE_2021 | SA2_NAME_2021 | CHANGE_FLAG_2021 | CHANGE_LABEL_2021 | SA3_CODE_2021 | SA3_NAME_2021 | SA4_CODE_2021 | SA4_NAME_2021 | GCCSA_CODE_2021 | GCCSA_NAME_2021 | STATE_CODE_2021 | STATE_NAME_2021 | AUS_CODE_2021 | AUS_NAME_2021 | AREA_ALBERS_SQKM | ASGS_LOCI_URI_2021,sa2_code_2021 | sa2_name_2021 | change_flag_2021 | change_label_2021 | sa3_code_2021 | sa3_name_2021 | sa4_code_2021 | sa4_name_2021 | gccsa_code_2021 | gccsa_name_2021 | state_code_2021 | state_name_2021 | aus_code_2021 | aus_name_2021 | area_albers_sqkm | asgs_loci_uri_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\MB_2021_AUST.xlsx,MB_2021_AUST.xlsx,read_ok,20,20,20,MB_CODE_2021 | MB_CATEGORY_2021 | CHANGE_FLAG_2021 | CHANGE_LABEL_2021 | SA1_CODE_2021 | SA2_CODE_2021 | SA2_NAME_2021 | SA3_CODE_2021 | SA3_NAME_2021 | SA4_CODE_2021 | SA4_NAME_2021 | GCCSA_CODE_2021 | GCCSA_NAME_2021 | STATE_CODE_2021 | STATE_NAME_2021 | AUS_CODE_2021 | AUS_NAME_2021 | AREA_ALBERS_SQKM | ASGS_LOCI_URI_2021,mb_code_2021 | mb_category_2021 | change_flag_2021 | change_label_2021 | sa1_code_2021 | sa2_code_2021 | sa2_name_2021 | sa3_code_2021 | sa3_name_2021 | sa4_code_2021 | sa4_name_2021 | gccsa_code_2021 | gccsa_name_2021 | state_code_2021 | state_name_2021 | aus_code_2021 | aus_name_2021 | area_albers_sqkm | asgs_loci_uri_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CG_SA2_2016_SA2_2021.csv,CG_SA2_2016_SA2_2021.csv,read_ok,19,19,19,SA2_MAINCODE_2016 | SA2_NAME_2016 | SA2_CODE_2021 | SA2_NAME_2021 | RATIO_FROM_TO | INDIV_TO_REGION_QLTY_INDICATOR | OVERALL_QUALITY_INDICATOR | BMOS_NULL_FLAG,sa2_maincode_2016 | sa2_name_2016 | sa2_code_2021 | sa2_name_2021 | ratio_from_to | indiv_to_region_qlty_indicator | overall_quality_indicator | bmos_null_flag
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SA1_2021_AUST.xlsx,SA1_2021_AUST.xlsx,read_ok,19,19,19,SA1_CODE_2021 | CHANGE_FLAG_2021 | CHANGE_LABEL_2021 | SA2_CODE_2021 | SA2_NAME_2021 | SA3_CODE_2021 | SA3_NAME_2021 | SA4_CODE_2021 | SA4_NAME_2021 | GCCSA_CODE_2021 | GCCSA_NAME_2021 | STATE_CODE_2021 | STATE_NAME_2021 | AUS_CODE_2021 | AUS_NAME_2021 | AREA_ALBERS_SQKM | ASGS_LOCI_URI_2021,sa1_code_2021 | change_flag_2021 | change_label_2021 | sa2_code_2021 | sa2_name_2021 | sa3_code_2021 | sa3_name_2021 | sa4_code_2021 | sa4_name_2021 | gccsa_code_2021 | gccsa_name_2021 | state_code_2021 | state_name_2021 | aus_code_2021 | aus_name_2021 | area_albers_sqkm | asgs_loci_uri_2021
D:\Good Measure\MentalWellbeingbyGeography\data\processed\spines\sa2_2021_spine.csv,sa2_2021_spine.csv,read_ok,19,19,19,sa2_code_2021 | sa2_name_2021 | sa3_code_2021 | sa3_name_2021 | sa4_code_2021 | sa4_name_2021 | state_code_2021 | state_name_2021 | area_albers_sqkm,sa2_code_2021 | sa2_name_2021 | sa3_code_2021 | sa3_name_2021 | sa4_code_2021 | sa4_name_2021 | state_code_2021 | state_name_2021 | area_albers_sqkm
D:\Good Measure\MentalWellbeingbyGeography\data\processed\spines\sa2_2021_spine.parquet,sa2_2021_spine.parquet,read_ok,19,19,19,sa2_code_2021 | sa2_name_2021 | sa3_code_2021 | sa3_name_2021 | sa4_code_2021 | sa4_name_2021 | state_code_2021 | state_name_2021 | area_albers_sqkm,sa2_code_2021 | sa2_name_2021 | sa3_code_2021 | sa3_name_2021 | sa4_code_2021 | sa4_name_2021 | state_code_2021 | state_name_2021 | area_albers_sqkm
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\DZN_SA2_2021_AUST.xlsx,DZN_SA2_2021_AUST.xlsx,read_ok,18,18,18,DZN_CODE_2021 | SA2_CODE_2021 | SA2_NAME_2021 | STATE_CODE_2021 | STATE_NAME_2021 | AUS_CODE_2021 | AUS_NAME_2021 | AREA_ALBERS_SQKM | ASGS_LOCI_URI_2021,dzn_code_2021 | sa2_code_2021 | sa2_name_2021 | state_code_2021 | state_name_2021 | aus_code_2021 | aus_name_2021 | area_albers_sqkm | asgs_loci_uri_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\INDIGENOUS_STRUCTURE_ALLOCATION_2021.xlsx,INDIGENOUS_STRUCTURE_ALLOCATION_2021.xlsx,read_ok,16,16,16,SA1_CODE_2021 | ILOC_CODE_2021 | ILOC_NAME_2021 | IARE_CODE_2021 | IARE_NAME_2021 | IREG_CODE_2021 | IREG_NAME_2021 | STATE_CODE_2021 | STATE_NAME_2021 | AUS_CODE_2021 | AUS_NAME_2021 | AREA_ALBERS_SQKM | ASGS_LOCI_URI_2021,sa1_code_2021 | iloc_code_2021 | iloc_name_2021 | iare_code_2021 | iare_name_2021 | ireg_code_2021 | ireg_name_2021 | state_code_2021 | state_name_2021 | aus_code_2021 | aus_name_2021 | area_albers_sqkm | asgs_loci_uri_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\MB_DZN_2021_AUST.xlsx,MB_DZN_2021_AUST.xlsx,read_ok,14,14,14,MB_CODE_2021 | DZN_CODE_2021 | SA2_CODE_2021 | SA2_NAME_2021 | STATE_CODE_2021 | STATE_NAME_2021 | AUS_CODE_2021 | AUS_NAME_2021 | AREA_ALBERS_SQKM | ASGS_LOCI_URI_2021,mb_code_2021 | dzn_code_2021 | sa2_code_2021 | sa2_name_2021 | state_code_2021 | state_name_2021 | aus_code_2021 | aus_name_2021 | area_albers_sqkm | asgs_loci_uri_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\TR_2021_AUST.xlsx,TR_2021_AUST.xlsx,read_ok,14,14,14,SA2_CODE_2021 | SA2_NAME_2021 | TR_CODE_2021 | TR_NAME_2021 | STATE_CODE_2021 | STATE_NAME_2021 | AUS_CODE_2021 | AUS_NAME_2021 | AREA_ALBERS_SQKM | ASGS_LOCI_URI_2021,sa2_code_2021 | sa2_name_2021 | tr_code_2021 | tr_name_2021 | state_code_2021 | state_name_2021 | aus_code_2021 | aus_name_2021 | area_albers_sqkm | asgs_loci_uri_2021
