path,path_type,extension,size_mb,level,priority,recommendation,rationale,suggested_archive_subfolder
data\processed\integrated\sa2_predictor_universe_v08_with_clean_housing_context.csv,file,.csv,12.526566,keep_active_for_now,low,keep_active,Current wide SA2 master; keep until scoped native-geography masters are built.,
data\processed\integrated\sa2_predictor_universe_v08_with_clean_housing_context.parquet,file,.parquet,5.866964,keep_active_for_now,low,keep_active,Current wide SA2 master; keep until scoped native-geography masters are built.,
data\raw\aihw\mbs_primary_care_geography\downloads\aihw_mbs_primary_care_geography__001__educational_resources.download,file,.download,0.140259,archive_now_or_keep_as_page_snapshot,low,review_archive,"Generic .download endpoint file. Usually an HTML page snapshot, not tabular source data.",data/raw/_archive/generic_download_endpoints
data\raw\aihw\mental_health_data_tables\downloads\aihw_mental_health_data_tables__001__educational_resources.download,file,.download,0.140259,archive_now_or_keep_as_page_snapshot,low,review_archive,"Generic .download endpoint file. Usually an HTML page snapshot, not tabular source data.",data/raw/_archive/generic_download_endpoints
data\raw\aihw\specialist_homelessness_services\downloads\aihw_specialist_homelessness_services__001__educational_resources.download,file,.download,0.140259,archive_now_or_keep_as_page_snapshot,low,review_archive,"Generic .download endpoint file. Usually an HTML page snapshot, not tabular source data.",data/raw/_archive/generic_download_endpoints
scripts\03_acquisition\19_inventory_phidu_social_health_atlas.py,file,.py,0.046261,optional_archive_after_confirming_final_script,low,review_archive,PHIDU exploration superseded by official LGA/PHN v12 extraction.,scripts/archive/pre_freeze_superseded_scripts
scripts\03_acquisition\20_validate_phidu_join_candidates.py,file,.py,0.030487,optional_archive_after_confirming_final_script,low,review_archive,PHIDU exploration superseded by official LGA/PHN v12 extraction.,scripts/archive/pre_freeze_superseded_scripts
scripts\03_acquisition\21_deep_probe_phidu_workbook_keys.py,file,.py,0.025086,optional_archive_after_confirming_final_script,low,review_archive,PHIDU exploration superseded by official LGA/PHN v12 extraction.,scripts/archive/pre_freeze_superseded_scripts
outputs\logs\16_acquire_join_dss_sa2_social_security_20260621_121148.log,file,.log,0.015166,archive_now,low,archive,"Older log for script/run family '16_acquire_join_dss_sa2_social_security'. Keep latest log active, archive older logs.",outputs/archive/old_logs_pre_freeze
outputs\logs\16_acquire_join_dss_sa2_social_security_20260621_120651.log,file,.log,0.015087,archive_now,low,archive,"Older log for script/run family '16_acquire_join_dss_sa2_social_security'. Keep latest log active, archive older logs.",outputs/archive/old_logs_pre_freeze
outputs\logs\16_acquire_join_dss_sa2_social_security_20260621_115806.log,file,.log,0.003264,archive_now,low,archive,"Older log for script/run family '16_acquire_join_dss_sa2_social_security'. Keep latest log active, archive older logs.",outputs/archive/old_logs_pre_freeze
outputs\logs\17_acquire_join_housing_affordability_context_20260621_132209.log,file,.log,0.001301,archive_now,low,archive,"Older log for script/run family '17_acquire_join_housing_affordability_context'. Keep latest log active, archive older logs.",outputs/archive/old_logs_pre_freeze
outputs\logs\19_inventory_phidu_social_health_atlas_20260621_135020.log,file,.log,0.005142,archive_now,low,archive,"Older log for script/run family '19_inventory_phidu_social_health_atlas'. Keep latest log active, archive older logs.",outputs/archive/old_logs_pre_freeze
outputs\logs\24_acquire_remaining_raw_source_register_20260622_104740.log,file,.log,0.005156,archive_now,low,archive,"Older log for script/run family '24_acquire_remaining_raw_source_register'. Keep latest log active, archive older logs.",outputs/archive/old_logs_pre_freeze
outputs\logs\25_validate_remaining_raw_source_inventory_20260622_114714.log,file,.log,0.0059,archive_now,low,archive,"Older log for script/run family '25_validate_remaining_raw_source_inventory'. Keep latest log active, archive older logs.",outputs/archive/old_logs_pre_freeze
outputs\logs\25_validate_remaining_raw_source_inventory_20260622_105459.log,file,.log,0.0059,archive_now,low,archive,"Older log for script/run family '25_validate_remaining_raw_source_inventory'. Keep latest log active, archive older logs.",outputs/archive/old_logs_pre_freeze
outputs\audits\raw_abs_audit_run_summary_v18_20260622_121947.csv,file,.csv,0.000406,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_audit_run_summary_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_audit_run_summary_v18_20260622_115637.csv,file,.csv,0.000406,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_audit_run_summary_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_cleanup_candidate_audit_v18_20260622_121947.csv,file,.csv,0.803375,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_cleanup_candidate_audit_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_cleanup_candidate_audit_v18_20260622_115637.csv,file,.csv,0.687973,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_cleanup_candidate_audit_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_cleanup_plan_v19_20260622_121918.csv,file,.csv,0.044232,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_cleanup_plan_v19'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_cleanup_plan_v19_20260622_121912.csv,file,.csv,0.044194,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_cleanup_plan_v19'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_cleanup_summary_v19_20260622_121918.csv,file,.csv,0.000179,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_cleanup_summary_v19'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_cleanup_summary_v19_20260622_121912.csv,file,.csv,0.000124,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_cleanup_summary_v19'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_duplicate_groups_v18_20260622_121947.csv,file,.csv,0.067831,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_duplicate_groups_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_duplicate_groups_v18_20260622_115637.csv,file,.csv,0.052053,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_duplicate_groups_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_file_inventory_v18_20260622_121947.csv,file,.csv,4.592602,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_file_inventory_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_file_inventory_v18_20260622_115637.csv,file,.csv,4.245399,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_file_inventory_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_folder_summary_v18_20260622_121947.csv,file,.csv,0.003434,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_folder_summary_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_folder_summary_v18_20260622_115637.csv,file,.csv,0.002403,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_folder_summary_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_scope_cleanup_plan_v19_20260622_124705.csv,file,.csv,0.033304,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_scope_cleanup_plan_v19'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_scope_cleanup_plan_v19_20260622_124701.csv,file,.csv,0.031885,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_scope_cleanup_plan_v19'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_scope_cleanup_summary_v19_20260622_124705.csv,file,.csv,0.002223,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_scope_cleanup_summary_v19'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_scope_cleanup_summary_v19_20260622_124701.csv,file,.csv,0.000433,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_scope_cleanup_summary_v19'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_workbook_sheet_inventory_v18_20260622_121947.csv,file,.csv,0.322427,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_workbook_sheet_inventory_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_workbook_sheet_inventory_v18_20260622_115637.csv,file,.csv,0.303344,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_workbook_sheet_inventory_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_zip_member_inventory_v18_20260622_121947.csv,file,.csv,0.050613,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_zip_member_inventory_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_abs_zip_member_inventory_v18_20260622_115637.csv,file,.csv,0.047592,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_abs_zip_member_inventory_v18'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_folder_cleanup_plan_v16_20260622_114529.csv,file,.csv,0.012816,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_folder_cleanup_plan_v16'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_folder_cleanup_plan_v16_20260622_114510.csv,file,.csv,0.012741,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_folder_cleanup_plan_v16'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_folder_cleanup_summary_v16_20260622_114529.csv,file,.csv,0.000163,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_folder_cleanup_summary_v16'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_folder_cleanup_summary_v16_20260622_114510.csv,file,.csv,0.000116,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_folder_cleanup_summary_v16'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_register_path_reconciliation_cleanup_plans_used_v17_20260622_115006.csv,file,.csv,0.000222,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_register_path_reconciliation_cleanup_plans_used_v17'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\raw_register_path_reconciliation_summary_v17_20260622_115006.csv,file,.csv,0.001012,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'raw_register_path_reconciliation_summary_v17'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\remaining_raw_source_acquisition_register_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115006.csv,file,.csv,0.013356,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'remaining_raw_source_acquisition_register_v13_RECONCILED_AFTER_RAW_CLEANUP_v17'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
outputs\audits\remaining_raw_source_candidate_link_audit_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115006.csv,file,.csv,0.026237,archive_now_after_latest_confirmed,low,archive,"Older timestamped audit output for 'remaining_raw_source_candidate_link_audit_v13_RECONCILED_AFTER_RAW_CLEANUP_v17'. Keep latest active, archive prior runs.",outputs/archive/audit_history_pre_freeze
data\raw\aihw\mbs_primary_care_geography\downloads\aihw_mbs_primary_care_geography__003__embedded_url.pdf,file,.pdf,1.760208,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 79e276cc9058...,data/archive/exact_duplicate_review
data\raw\aihw\regional_activity_data_downloads\extracted\Community-mental-health-care-state-and-territory-tables-2023-24\.extracted,file,,9e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 7c375be828a1...,data/archive/exact_duplicate_review
data\raw\aihw\regional_activity_data_downloads\extracted\Medicare-mental-health-service-2024-25\.extracted,file,,9e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 7c375be828a1...,data/archive/exact_duplicate_review
data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-related-prescriptions-2024-25\.extracted,file,,9e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 7c375be828a1...,data/archive/exact_duplicate_review
data\raw\aihw\regional_activity_data_downloads\extracted\Mental-health-services-provided-in-emergency-departments-states-and-territories-2023-24\.extracted,file,,9e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 7c375be828a1...,data/archive/exact_duplicate_review
data\raw\aihw\regional_activity_data_downloads\extracted\Mental_health_workforce_2024\.extracted,file,,9e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 7c375be828a1...,data/archive/exact_duplicate_review
data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_90101_christmas_island_2021_22.csv,file,.csv,5e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: f01a374e9c81...,data/archive/exact_duplicate_review
data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_90102_cocos_keeling_islands_2021_22.csv,file,.csv,5e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: f01a374e9c81...,data/archive/exact_duplicate_review
data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_90103_jervis_bay_2021_22.csv,file,.csv,5e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: f01a374e9c81...,data/archive/exact_duplicate_review
data\raw\aihw\regional_profiles_sa3_embedding_api\individual\aihw_regional_profiles_sa3_90104_norfolk_island_2021_22.csv,file,.csv,5e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: f01a374e9c81...,data/archive/exact_duplicate_review
outputs\audits\extended_lga_bridge_source_candidates_v04.csv,file,.csv,5e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: f01a374e9c81...,data/archive/exact_duplicate_review
outputs\audits\extended_phn_bridge_source_candidates_v04.csv,file,.csv,5e-06,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: f01a374e9c81...,data/archive/exact_duplicate_review
data\raw\aihw\specialist_homelessness_services\downloads\aihw_specialist_homelessness_services__003__embedded_url.pdf,file,.pdf,8.699315,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 7ba8be2e3cd9...,data/archive/exact_duplicate_review
outputs\audits\ndia_public_poc_selected_sources.csv,file,.csv,0.037908,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 23fa9be9585c...,data/archive/exact_duplicate_review
outputs\audits\phidu_official_lga_phn_key_validation_v12.csv,file,.csv,0.02225,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 8ce501047667...,data/archive/exact_duplicate_review
outputs\audits\remaining_raw_source_acquisition_register_v13.csv,file,.csv,0.013356,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 957fd9cc55b8...,data/archive/exact_duplicate_review
outputs\audits\remaining_raw_source_acquisition_register_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115006.csv,file,.csv,0.013356,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 957fd9cc55b8...,data/archive/exact_duplicate_review
outputs\audits\remaining_raw_source_acquisition_register_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115016.csv,file,.csv,0.013356,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 957fd9cc55b8...,data/archive/exact_duplicate_review
outputs\audits\remaining_raw_source_file_inventory_v14.csv,file,.csv,0.033141,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 88d438bdeb91...,data/archive/exact_duplicate_review
outputs\audits\raw_register_path_reconciliation_cleanup_plans_used_v17_20260622_115016.csv,file,.csv,0.000222,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: 998a19a87c92...,data/archive/exact_duplicate_review
outputs\audits\remaining_raw_source_candidate_link_audit_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115006.csv,file,.csv,0.026237,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: bf8e0521cbd0...,data/archive/exact_duplicate_review
outputs\audits\remaining_raw_source_candidate_link_audit_v13_RECONCILED_AFTER_RAW_CLEANUP_v17_20260622_115016.csv,file,.csv,0.026237,duplicate_review,medium,review_archive,Exact duplicate SHA256 of another active/non-excluded file: bf8e0521cbd0...,data/archive/exact_duplicate_review
