relative_path,file_name,file_type,file_size_mb,sha256,duplicate_group_size,source_hint,detected_geographies,cleanup_candidate_action,cleanup_candidate_reason
data\raw\abs\census_2021_gcp_sa2\2021_GCP_SA2_for_AUS_short-header.zip,2021_GCP_SA2_for_AUS_short-header.zip,.zip,40.331534,05fb097a81347bb509e33374d68d2d71acd4fa78e3dcc91546367dcdc472db14,1,abs_census_quickstats,CENSUS,keep_or_extract_after_member_review,Archive should be kept until member inventory is processed.
data\raw\abs\geography\AUS_2021_AUST.xlsx,AUS_2021_AUST.xlsx,.xlsx,0.010678,d14b0f8a8b2af78710f69dad524f71580e4afce6b5246aeb7843d7a3d1ef94cc,1,abs_geography_bridge,unknown,keep_pending_schema_inspection,Workbook is a candidate source table pending native-geography processing.
data\raw\abs\geography\CA_ADD_2016_ADD_2021.csv,CA_ADD_2016_ADD_2021.csv,.csv,0.003108,16ccd8c934b04ff677a0afa7127e9fc5ebc3ecf306637386fae03104e69576bb,1,unknown,STATE_TERRITORY,keep_pending_schema_inspection,Delimited file is a candidate source table pending native-geography processing.
data\raw\abs\geography\CG_LGA_2016_LGA_2021.csv,CG_LGA_2016_LGA_2021.csv,.csv,0.030979,7849f286e0dad2c3782ad2403e72e5e2f3199481c47fbee46ed4d50bcf6c97f8,1,abs_geography_bridge,STATE_TERRITORY,keep_pending_schema_inspection,Delimited file is a candidate source table pending native-geography processing.
data\raw\abs\geography\CG_LGA_2020_LGA_2021.csv,CG_LGA_2020_LGA_2021.csv,.csv,0.030489,fb1ba47536e1ee6423d25f1af4ec97be3c8e5dbef83996e8298de17fec71f4d9,1,abs_geography_bridge,STATE_TERRITORY,keep_pending_schema_inspection,Delimited file is a candidate source table pending native-geography processing.
data\raw\abs\geography\CG_SA2_2016_SA2_2021.csv,CG_SA2_2016_SA2_2021.csv,.csv,0.164788,e4838ecb7f0df49fb03087d0c8182a443161f87913da27a6e7c06cb1255eef7c,1,abs_geography_bridge,SA2,keep_pending_schema_inspection,Delimited file is a candidate source table pending native-geography processing.
data\raw\abs\geography\CG_SA3_2016_SA3_2021.csv,CG_SA3_2016_SA3_2021.csv,.csv,0.020938,70b1df58c038531dea07996ddd2fc16e91596e0ffe988b44ad6bf23956118a70,1,unknown,SA3;STATE_TERRITORY,keep_pending_schema_inspection,Delimited file is a candidate source table pending native-geography processing.
data\raw\abs\geography\CG_SA4_2016_SA4_2021.csv,CG_SA4_2016_SA4_2021.csv,.csv,0.007169,cf2aaee7ea8c3677312741edb80047d11a1bceb60b372de65ba0e8a83040b0ca,1,unknown,SA4;STATE_TERRITORY,keep_pending_schema_inspection,Delimited file is a candidate source table pending native-geography processing.
data\raw\abs\geography\LGA_2021_AUST.xlsx,LGA_2021_AUST.xlsx,.xlsx,19.073949,a6da592da9ec042fb50c3246b3f9e20d49af1b82846a31b2e60f52808d23b37a,1,abs_geography_bridge,STATE_TERRITORY,keep_pending_schema_inspection,Workbook is a candidate source table pending native-geography processing.
data\raw\abs\geography\RA_2021_AUST.xlsx,RA_2021_AUST.xlsx,.xlsx,3.093174,1e75ddd3c30abf1458627a54036f4c6e3a0704d4dd2bd4d270119fed89eb375c,1,abs_geography_bridge;abs_remoteness,SA1;STATE_TERRITORY;REMOTENESS,keep_pending_schema_inspection,Workbook is a candidate source table pending native-geography processing.
