folder_within_target,file_count,total_size_bytes,total_size_mb,file_types,source_hints,cleanup_actions
allocation_files,2,55323470,52.760572,.xlsx,abs_geography_bridge,review_duplicate_keep_one_active_copy
census_2021_gcp_sa2,1,42290679,40.331534,.zip,abs_census_quickstats,keep_or_extract_after_member_review
census_2021_gcp_sa2\extracted,1,9,9e-06,no_extension,unknown,manual_review_unknown_abs_raw_file
census_2021_gcp_sa2\extracted\2021 Census GCP Statistical Area 2 for AUS,119,116067708,110.690792,.csv,abs_census_quickstats;abs_census_quickstats;abs_geography_bridge,keep_pending_schema_inspection
census_2021_gcp_sa2\extracted\Metadata,3,4622566,4.408422,.xlsx,abs_census_quickstats;abs_census_quickstats;abs_geography_bridge,keep_pending_schema_inspection
census_2021_gcp_sa2\extracted\Readme,7,26818,0.025576,.txt,abs_census_quickstats;abs_census_quickstats;abs_remoteness;unknown,keep;manual_review_unknown_abs_raw_file
census_2021_quickstats_sa2\html,2454,390243730,372.165422,.html,unknown,keep_source_page_snapshot
correspondences\asgs_2016_to_2021,34,19175172,18.286869,.csv,abs_geography_bridge;abs_geography_bridge;abs_remoteness,review_duplicate_keep_one_active_copy
correspondences\asgs_2016_to_2021_exact,2,194748,0.185726,.csv,abs_geography_bridge,review_duplicate_keep_one_active_copy
geography,71,361977686,345.208822,.csv;.xlsx;.zip,abs_geography_bridge;abs_geography_bridge;abs_remoteness;abs_remoteness;unknown,review_duplicate_keep_one_active_copy
geography\SA1_2016_CED_2021_TB_RECODES,18,16266336,15.512787,.csv,unknown,keep_pending_schema_inspection
geography\SA1_2016_SED_2021_TB_RECODES,18,16556497,15.789506,.csv,unknown,keep_pending_schema_inspection
nsmhw,6,1868023,1.781486,.xlsx,unknown,keep_pending_schema_inspection
remoteness,37,342802514,326.921953,.xlsx;.zip,abs_geography_bridge;abs_remoteness;abs_remoteness,review_duplicate_keep_one_active_copy
seifa,23,163379040,155.810394,.xlsx;.zip,abs_geography_bridge;abs_seifa;abs_seifa,keep_or_extract_after_member_review;keep_pending_schema_inspection;review_duplicate_keep_one_active_copy
seifa\Index-data-cubes-all,5,34578264,32.976402,.xlsx,abs_geography_bridge;abs_seifa;abs_seifa,review_duplicate_keep_one_active_copy
seifa\Population-distribution-data-cubes-all,5,1866081,1.779634,.xlsx,abs_geography_bridge;abs_seifa;abs_seifa,review_duplicate_keep_one_active_copy
seifa\SA1-distribution-data-cubes-all,8,6091603,5.809405,.xlsx,abs_geography_bridge;abs_seifa;abs_seifa,review_duplicate_keep_one_active_copy
