"category","status","n","total_size_mb"
"non_core_geography","moved","16","122.01103"
"electoral_boundaries","moved","7","114.488854"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CED_2024_AUST.xlsx' does not exist.","1","15.112667"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CED_2025_AUST.xlsx' does not exist.","1","14.044005"
"outside_2021_scope","moved","8","62.351313"
"electoral_concordances","moved","9","0.288625"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CG_CED_2021_CED_2024.csv' does not exist.","1","0.014883"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CG_CED_2024_CED_2025.csv' does not exist.","1","0.007223"
"non_core_concordance","moved","14","15.271131"
"sa1_linking_not_active","moved","1","2.359509"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CG_SED_2021_SED_2022.csv' does not exist.","1","0.048023"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CG_SED_2022_SED_2024.csv' does not exist.","1","0.032352"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CG_SED_2024_SED_2025.csv' does not exist.","1","0.025776"
"electoral_sa1_recodes","moved","4","32.127827"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SED_2022_AUST.xlsx' does not exist.","1","15.677305"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SED_2024_AUST.xlsx' does not exist.","1","17.644584"
"outside_2021_scope","error: Cannot move item because the item at 'D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SED_2025_AUST.xlsx' does not exist.","1","14.047913"
"seifa_non_active_extract","moved","17","114.765422"
