archive_path,archive_name,member_name,member_extension,member_file_size,member_compress_size,member_is_dir,member_is_candidate_data,detected_geographies
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_act_en.csv,.csv,152484,5200,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_act_ur.csv,.csv,169838,5323,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_nsw_en.csv,.csv,2475424,64899,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_nsw_ur.csv,.csv,2751558,66360,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_nt_en.csv,.csv,84297,3148,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_nt_ur.csv,.csv,93835,3132,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_ot_en.csv,.csv,2928,273,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_ot_ur.csv,.csv,3406,312,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_qld_en.csv,.csv,1546561,43731,0,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\_archive\pre_freeze_cleanup_v19_20260622_121918\duplicate_exact_sha_copies\data\raw\abs\remoteness\SA1_2016_CED_2021_TB_RECODES.zip,SA1_2016_CED_2021_TB_RECODES.zip,2021_ced_qld_ur.csv,.csv,1720155,44294,0,1,unknown
