workbook_path,workbook_name,sheet_name,sheet_index,sheet_rows_reported,sheet_columns_reported,sample_rows_read,sample_columns_read,sample_read_status,detected_geography_terms,header_text_sample
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\abs_homelessness\abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,Contents,0,39.0,8.0,25,3,ok,SA2;SA3;STATE_TERRITORY,"Australian Bureau of Statistics | 20490DO005_2021 Estimating homelessness: Census, 2021 | Released at 11:30 am (Canberra time) Wed 22 Mar 2023 | Contents | Tables | 5.1 | HOMELESS OPERATIONAL GROUPS AND OTHER MARGINAL HOUSING, by place of enumeration, Statistical Area Level 3 and 4, 2021 | 5.2 | HOMELESS OPERATIONAL GROUPS AND OTHER MARGINAL HOUSING, by place of enumeration, Statistical Area Level 3 and 4, 2016 | 5.3 | ALL HOMELESS PERSONS, by place of enumeration, Statistical Area Level 2, 2021 | 5.4 | ALL HOMELESS PERSONS, by place of enumeration, Statistical Area Level 2, 2016 | More information available from the ABS website | Estimating homelessness: Census, 2021 | Summary | Methodology | Enquiries | Further information about these and related statistics is available from the ABS website www.abs.gov.au, or contact the Customer Assistance Service on 1300 135 070."
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\abs_homelessness\abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,Table_5.1,1,464.0,20.0,25,14,ok,SA3;SA4;STATE_TERRITORY,"Australian Bureau of Statistics | 20490DO005_2021 Estimating homelessness: Census, 2021 | Released at 11:30 am (Canberra time) Wed 22 Mar 2023 | Table 5.1 HOMELESS OPERATIONAL GROUPS AND OTHER MARGINAL HOUSING, by place of enumeration, Statistical Area Level 3 and 4, 2021(a)(b)(c) | HOMELESS OPERATIONAL GROUP | OTHER MARGINAL HOUSING | People living in improvised dwellings, tents, or sleeping out | People in supported accommodation for the homeless | People staying temporarily with other households(d) | People living in boarding houses(e) | People in other temporary lodgings(e) | People living in 'severely' crowded dwellings(f) | All homeless persons | People living in other crowded dwellings(g) | People in other improvised dwellings | People who are marginally housed in caravan parks(h) | SA4 | SA3 | no. | no. | no. | no. | no. | no. | no. | no. | no. | no. | Australia | 7636 | 24291 | 16597 | 22137 | 3934 | 47895 | 122494 | 81026 | 2783 | 9377 | New South Wales | 956 | 5038 | 4088 | "
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\abs_homelessness\abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,Table_5.2,2,462.0,14.0,25,14,ok,SA3;SA4;STATE_TERRITORY,"Australian Bureau of Statistics | 20490DO005_2021 Estimating homelessness: Census, 2021 | Released at 11:30 am (Canberra time) Wed 22 Mar 2023 | Table 5.2 HOMELESS OPERATIONAL GROUPS AND OTHER MARGINAL HOUSING, by place of enumeration, Statistical Area Level 3 and 4, 2016(a)(b)(c) | HOMELESS OPERATIONAL GROUP | OTHER MARGINAL HOUSING | People living in improvised dwellings, tents, or sleeping out | People in supported accommodation for the homeless | People staying temporarily with other households(d) | People living in boarding houses(e) | People in other temporary lodgings(e) | People living in 'severely' crowded dwellings(f) | All homeless persons | People living in other crowded dwellings(g) | People in other improvised dwellings | People who are marginally housed in caravan parks(h) | SA4 | SA3 | no. | no. | no. | no. | no. | no. | no. | no. | no. | no. | Australia | 8200 | 21235 | 17725 | 17503 | 678 | 51088 | 116427 | 80908 | 5404 | 10685 | New South Wales | 2584 | 5843 | 5366 |"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\abs_homelessness\abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,Table_5.3,3,2910.0,11.0,25,5,ok,SA2;SA3;SA4;STATE_TERRITORY,"Australian Bureau of Statistics | 20490DO005_2021 Estimating homelessness: Census, 2021 | Released at 11:30 am (Canberra time) Wed 22 Mar 2023 | Table 5.3 ALL HOMELESS PERSONS, by place of enumeration, Statistical Area Level 2, 2021(a)(b)(c) | All homeless persons | SA4 | SA3 | SA2 | no. | Australia | 122494 | New South Wales | 34982 | Capital Region | 757 | Queanbeyan | 190 | Braidwood | 15 | Karabar | 33 | Queanbeyan | 77 | Queanbeyan - East | 24 | Queanbeyan West - Jerrabomberra | 4 | Googong | 7 | Queanbeyan Surrounds | 28 | Snowy Mountains | 123 | Bombala | 7 | Cooma | 15 | Cooma Surrounds | 16 | Jindabyne - Berridale | 82 | South Coast | 269 | Batemans Bay | 25"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\abs_homelessness\abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,abs_estimating_homelessness_2021_data_cube_005_DUPLICATE_ROOT_COPY.xlsx,Table_5.4,4,2748.0,8.0,25,5,ok,SA2;SA3;SA4;STATE_TERRITORY,"Australian Bureau of Statistics | 20490DO005_2021 Estimating homelessness: Census, 2021 | Released at 11:30 am (Canberra time) Wed 22 Mar 2023 | Table 5.4 ALL HOMELESS PERSONS, by place of enumeration, Statistical Area Level 2, 2016(a)(b)(c) | All homeless persons | SA4 | SA3 | SA2 | no. | Australia | 116427 | New South Wales | 37692 | Capital Region | 656 | Queanbeyan | 121 | Braidwood | 20 | Karabar | 28 | Queanbeyan | 28 | Queanbeyan - East | 9 | Queanbeyan Region | 25 | Queanbeyan West - Jerrabomberra | 7 | Snowy Mountains | 89 | Bombala | 3 | Cooma | 26 | Cooma Region | 3 | Jindabyne - Berridale | 60 | South Coast | 243 | Batemans Bay | 15 | Batemans Bay - South | 14"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\abs_homelessness\abs_estimating_homelessness_2021_data_cube_006_DUPLICATE_ROOT_COPY.xlsx,abs_estimating_homelessness_2021_data_cube_006_DUPLICATE_ROOT_COPY.xlsx,Contents,0,24.0,4.0,24,3,ok,LGA;STATE_TERRITORY,"Australian Bureau of Statistics | 20490DO006_2021 Estimating homelessness: Census, 2021 | Released at 11:30 am (Canberra time) Wed 22 Mar 2023 | Contents | Tables | 6.1 | HOMELESS OPERATIONAL GROUPS AND OTHER MARGINAL HOUSING, by place of enumeration, Local Government Area, 2021 | 6.2 | HOMELESS OPERATIONAL GROUPS AND OTHER MARGINAL HOUSING, by place of enumeration, Local Government Area, 2016 | More information available from the ABS website | Estimating homelessness: Census, 2021 | Summary | Methodology | Enquiries | Further information about these and related statistics is available from the ABS website www.abs.gov.au, or contact the Customer Assistance Service on 1300 135 070. | © Commonwealth of Australia 2023"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\abs_homelessness\abs_estimating_homelessness_2021_data_cube_006_DUPLICATE_ROOT_COPY.xlsx,abs_estimating_homelessness_2021_data_cube_006_DUPLICATE_ROOT_COPY.xlsx,Table_6.1,1,602.0,16.0,25,14,ok,LGA;STATE_TERRITORY,"Australian Bureau of Statistics | 20490DO006_2021 Estimating homelessness: Census, 2021 | Released at 11:30 am (Canberra time) Wed 22 Mar 2023 | Table 6.1 HOMELESS OPERATIONAL GROUPS AND OTHER MARGINAL HOUSING, by place of enumeration, Local Government Area, 2021(a)(b)(c)(d) | HOMELESS OPERATIONAL GROUP | OTHER MARGINAL HOUSING | Australia | State or Territory | LGA(b)(c)(d) | People living in improvised dwellings, tents, or sleeping out | People in supported accommodation for the homeless | People staying temporarily with other households(e) | People living in boarding houses(f) | People in other temporary lodgings(f) | People living in 'severely' crowded dwellings(g) | All homeless persons | People living in other crowded dwellings(h) | People in other improvised dwellings | People who are marginally housed in caravan parks(i) | no. | no. | no. | no. | no. | no. | no. | no. | no. | no. | Australia | 7636 | 24291 | 16597 | 22137 | 3934 | 47895 | 122494 | 81026 | 2783 | 9377 | New Sout"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\abs_homelessness\abs_estimating_homelessness_2021_data_cube_006_DUPLICATE_ROOT_COPY.xlsx,abs_estimating_homelessness_2021_data_cube_006_DUPLICATE_ROOT_COPY.xlsx,Table_6.2,2,579.0,16.0,25,14,ok,LGA;STATE_TERRITORY,"Australian Bureau of Statistics | 20490DO006_2021 Estimating homelessness: Census, 2021 | Released at 11:30 am (Canberra time) Wed 22 Mar 2023 | Table 6.2 HOMELESS OPERATIONAL GROUPS AND OTHER MARGINAL HOUSING, by place of enumeration, Local Government Area, 2016(a)(b)(c) | HOMELESS OPERATIONAL GROUP | OTHER MARGINAL HOUSING | Australia | State or Territory | LGA(b)(c) | People living in improvised dwellings, tents, or sleeping out | People in supported accommodation for the homeless | People staying temporarily with other households(d) | People living in boarding houses(e) | People in other temporary lodgings(e) | People living in 'severely' crowded dwellings(f) | All homeless persons | People living in other crowded dwellings(g) | People in other improvised dwellings | People who are marginally housed in caravan parks(h) | no. | no. | no. | no. | no. | no. | no. | no. | no. | no. | Australia | 8200 | 21235 | 17725 | 17503 | 678 | 51088 | 116427 | 80908 | 5404 | 10685 | New South Wale"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\aedc\data_workbooks_2024\aedc_child_development__001__download_xlsx_16_kb.xlsx,aedc_child_development__001__download_xlsx_16_kb.xlsx,Contents,0,9.0,9.0,7,1,ok,STATE_TERRITORY,"CONTENTS | Table 1 — Number of children, schools and teachers participating in the AEDC nationally, by collection cycle | Table 2 — Children included in the AEDC by state and territory, by collection cycle | Table 3 — Schools included in the AEDC by state and territory, by collection cycle"
D:\Good Measure\MentalWellbeingbyGeography\data\raw\aedc\data_workbooks_2024\aedc_child_development__001__download_xlsx_16_kb.xlsx,aedc_child_development__001__download_xlsx_16_kb.xlsx,Table 1 - overall,1,10.0,7.0,10,7,ok,unknown,"Table 1 — Number of children, schools and teachers participating in the AEDC nationally, by collection cycle | 2009.0 | 2012.0 | 2015.0 | 2018.0 | 2021.0 | 2024.0 | Total number of children included (n) | 261147.0 | 289973.0 | 302003.0 | 308953.0 | 305015.0 | 288483.0 | Teachers contributing to the results (n) | 15522.0 | 16425.0 | 16968.0 | 17508.0 | 17571.0 | 16723.0 | Schools contributing to the results (n) | 7422.0 | 7415.0 | 7510.0 | 7507.0 | 7470.0 | 7368.0 | The reported figures are those published at the time of each cycle. | Back to contents"
