archive_path,member_name,member_extension,member_file_size,member_compress_size,member_is_candidate_data,detected_geography_terms
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__001__data_tables_community_mental_health_care_services_2023_24_zip_938kb.zip,CMHC_MRF_DemogFocus_2324.csv,.csv,14818115,384434,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__001__data_tables_community_mental_health_care_services_2023_24_zip_938kb.zip,CMHC_MRF_GeospatialFocus_2324.csv,.csv,8016138,235763,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__001__data_tables_community_mental_health_care_services_2023_24_zip_938kb.zip,CMHC_MRF_SessionFocus_2324.csv,.csv,16021850,406103,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__001__data_tables_community_mental_health_care_services_2023_24_zip_938kb.zip,Community mental health care Tables 2023-24.xlsx,.xlsx,307375,293551,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__001__data_tables_community_mental_health_care_services_2023_24_zip_938kb.zip,Metadata_description_CMHC_MRF_2324.xlsx,.xlsx,31061,21432,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__001__data_tables_community_mental_health_care_services_2023_24_zip_938kb.zip,README_CMHC_MRF_2324.txt,.txt,4311,1439,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__002__data_tables_medicare_mental_health_services_2024_25_zip_716kb.zip,Medicare mental health service 2024-25.xlsx,.xlsx,247334,234378,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__002__data_tables_medicare_mental_health_services_2024_25_zip_716kb.zip,Medicare mental health services CSV user_guide.xlsx,.xlsx,24160,18187,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__002__data_tables_medicare_mental_health_services_2024_25_zip_716kb.zip,Medicare mental health services PHN SA4 2024-25.csv,.csv,2503379,203546,1,SA4;PHN
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__002__data_tables_medicare_mental_health_services_2024_25_zip_716kb.zip,Medicare mental health services quarters and demographics 2024-25.csv,.csv,3924514,275911,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__003__data_tables_mental_health_related_prescriptions_2024_25_zip_857kb.zip,CSV files user guide and metadata 2024-25.xlsx,.xlsx,24326,18373,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__003__data_tables_mental_health_related_prescriptions_2024_25_zip_857kb.zip,Mental health-related prescriptions quarters demographic 2024-25.csv,.csv,4492380,282851,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__003__data_tables_mental_health_related_prescriptions_2024_25_zip_857kb.zip,Mental health-related prescription tables 2024-25.xlsx,.xlsx,234068,222030,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__003__data_tables_mental_health_related_prescriptions_2024_25_zip_857kb.zip,Mental health-related prescriptions PHN and SA4 2024-25 (6).csv,.csv,4246337,353331,1,SA4;PHN
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__004__data_tables_mental_health_services_provided_in_emergency_departments_states_and_territories_2023_24_zip_402kb.zip,Data tables_ED states and territories 2023–24/,,0,0,0,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__004__data_tables_mental_health_services_provided_in_emergency_departments_states_and_territories_2023_24_zip_402kb.zip,Data tables_ED states and territories 2023–24/ED_csv_README_and_metadata_user_guide_2324.xlsx,.xlsx,30885,22205,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__004__data_tables_mental_health_services_provided_in_emergency_departments_states_and_territories_2023_24_zip_402kb.zip,Data tables_ED states and territories 2023–24/ED_PHN_SA4_2324.csv,.csv,555023,42097,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__004__data_tables_mental_health_services_provided_in_emergency_departments_states_and_territories_2023_24_zip_402kb.zip,Data tables_ED states and territories 2023–24/ED_State_Sex_Age_Qtr_2324.csv,.csv,725454,61706,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__004__data_tables_mental_health_services_provided_in_emergency_departments_states_and_territories_2023_24_zip_402kb.zip,Data tables_ED states and territories 2023–24/ED_Tables_Jurisdictions_2324.xlsx,.xlsx,237019,227039,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__004__data_tables_mental_health_services_provided_in_emergency_departments_states_and_territories_2023_24_zip_402kb.zip,Data tables_ED states and territories 2023–24/ED_Time_of_day_2324.csv,.csv,472004,49114,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__004__data_tables_mental_health_services_provided_in_emergency_departments_states_and_territories_2023_24_zip_402kb.zip,Data tables_ED states and territories 2023–24/ED_waittime_LOS_2324.csv,.csv,102349,7063,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__005__data_tables_mental_health_workforce_2024_zip_69kb.zip,Metadata_description_workforce_2024.xlsx,.xlsx,21749,16650,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__005__data_tables_mental_health_workforce_2024_zip_69kb.zip,README_WORKFORCE_2024.txt,.txt,5989,2578,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__005__data_tables_mental_health_workforce_2024_zip_69kb.zip,Workforce_2024.csv,.csv,774872,50553,1,unknown
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__006__data_tables_admitted_patient_care_2023_24_zip_457kb.zip,Admitted patient care state and territory PHN_SA4 2023-24.csv,.csv,216440,19487,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__006__data_tables_admitted_patient_care_2023_24_zip_457kb.zip,Admitted patient care state and territory README CSV METADATA AND USER GUIDE 2023-24.xlsx,.xlsx,24507,18310,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__006__data_tables_admitted_patient_care_2023_24_zip_457kb.zip,Admitted patient care state and territory tables 2023-24.xlsx,.xlsx,564869,386253,1,STATE_TERRITORY
D:\Good Measure\MentalWellbeingbyGeography\data\raw\_archive\duplicates\aihw_mental_health_regional_activity_duplicate_zips\aihw_mental_health_regional_activity__006__data_tables_admitted_patient_care_2023_24_zip_457kb.zip,Admitted patient care state and territory Common Procedures 2023-24.csv,.csv,958768,47431,1,STATE_TERRITORY
