sa2_code_2021,area_name_from_page,html_table_count,parsed_table_count,long_record_count,status,notes,duplicate_long_records_removed_total
101021007,Braidwood,44,44,443,pass,,0
101021008,Karabar,44,44,443,pass,,0
101021009,Queanbeyan,44,44,443,pass,,0
101021010,Queanbeyan - East,44,44,443,pass,,0
101021012,Queanbeyan West - Jerrabomberra,44,44,443,pass,,0
101021610,Googong,44,44,443,pass,,0
101021611,Queanbeyan Surrounds,44,44,443,pass,,0
101031013,Bombala,44,44,443,pass,,0
101031014,Cooma,44,44,443,pass,,0
101031015,Cooma Surrounds,44,44,443,pass,,0
101031016,Jindabyne - Berridale,44,44,443,pass,,0
101041017,Batemans Bay,44,44,443,pass,,0
101041018,Batemans Bay - South,44,44,443,pass,,0
101041019,Bega - Tathra,44,44,443,pass,,0
101041020,Bega-Eden Hinterland,44,44,443,pass,,0
101041021,Broulee - Tomakin,44,44,443,pass,,0
101041022,Deua - Wadbilliga,3,3,13,pass,,0
101041023,Eden,44,44,443,pass,,0
101041024,Eurobodalla Hinterland,44,44,443,pass,,0
101041025,Merimbula - Tura Beach,44,44,443,pass,,0
101041026,Moruya - Tuross Head,44,44,443,pass,,0
101041027,Narooma - Bermagui,44,44,443,pass,,0
101051539,Goulburn,44,44,443,pass,,0
101051540,Goulburn Surrounds,44,44,443,pass,,0
101061541,Yass,44,44,443,pass,,0
101061542,Yass Surrounds,44,44,443,pass,,0
101061543,Young,44,44,443,pass,,0
101061544,Young Surrounds,44,44,443,pass,,0
102011028,Avoca Beach - Copacabana,44,44,443,pass,,0
102011029,Box Head - MacMasters Beach,44,44,443,pass,,0
102011030,Calga - Kulnura,44,44,443,pass,,0
102011031,Erina - Green Point,44,44,443,pass,,0
102011032,Gosford - Springfield,44,44,443,pass,,0
102011033,Kariong,44,44,443,pass,,0
102011034,Kincumber - Picketts Valley,44,44,443,pass,,0
102011035,Narara,44,44,443,pass,,0
102011036,Niagara Park - Lisarow,44,44,443,pass,,0
102011037,Point Clare - Koolewong,44,44,443,pass,,0
102011038,Saratoga - Davistown,44,44,443,pass,,0
102011039,Terrigal - North Avoca,44,44,443,pass,,0
102011040,Umina - Booker Bay - Patonga,44,44,443,pass,,0
102011041,Wamberal - Forresters Beach,44,44,443,pass,,0
102011042,Woy Woy - Blackwall,44,44,443,pass,,0
102011043,Wyoming,44,44,443,pass,,0
102021044,Bateau Bay - Killarney Vale,44,44,443,pass,,0
102021045,Blue Haven - San Remo,44,44,443,pass,,0
102021046,Budgewoi - Buff Point - Halekulani,44,44,443,pass,,0
102021047,Chittaway Bay - Tumbi Umbi,44,44,443,pass,,0
102021048,Gorokan - Kanwal - Charmhaven,44,44,443,pass,,0
102021049,Jilliby - Yarramalong,44,44,443,pass,,0
102021050,Lake Munmorah - Mannering Park,44,44,443,pass,,0
102021051,Ourimbah - Fountaindale,44,44,443,pass,,0
102021052,Summerland Point - Gwandalan,44,44,443,pass,,0
102021053,The Entrance,44,44,443,pass,,0
102021054,Toukley - Norah Head,44,44,443,pass,,0
102021055,Tuggerah - Kangy Angy,44,44,443,pass,,0
102021056,Warnervale - Wadalba,44,44,443,pass,,0
102021057,Wyong,44,44,443,pass,,0
103011059,Bathurst - East,44,44,443,pass,,0
103011060,Bathurst Surrounds,44,44,443,pass,,0
103011061,Oberon,44,44,443,pass,,0
103011612,Bathurst - South,44,44,443,pass,,0
103011613,Bathurst - West,44,44,443,pass,,0
103021062,Condobolin,44,44,443,pass,,0
103021063,Cowra,44,44,443,pass,,0
103021064,Cowra Surrounds,44,44,443,pass,,0
103021065,Forbes,44,44,443,pass,,0
103021066,Grenfell,44,44,443,pass,,0
103021067,Parkes (NSW),44,44,443,pass,,0
103021068,Parkes Surrounds,44,44,443,pass,,0
103021069,West Wyalong,44,44,443,pass,,0
103031070,Lithgow,44,44,443,pass,,0
103031071,Lithgow Surrounds,44,44,443,pass,,0
103031072,Mudgee,44,44,443,pass,,0
103031073,Mudgee Surrounds - East,44,44,443,pass,,0
103031074,Mudgee Surrounds - West,44,44,443,pass,,0
103031075,Wollangambe - Wollemi,0,0,0,review,No QuickStats table values parsed.,0
103041076,Blayney,44,44,443,pass,,0
103041077,Orange,44,44,443,pass,,0
103041078,Orange - North,44,44,443,pass,,0
103041079,Orange Surrounds,44,44,443,pass,,0
104011080,Grafton,44,44,443,pass,,0
104011081,Grafton Surrounds,44,44,443,pass,,0
