sa2_code_2021,sa2_name_2021,sa3_code_2021,sa3_name_2021,sa4_code_2021,sa4_name_2021,state_code_2021,state_name_2021,quickstats_url,cache_path,download_status,download_error,area_name_from_page,html_table_count,parsed_table_count,long_record_count,status,notes,duplicate_long_records_removed_total
103031075,Wollangambe - Wollemi,10303,Lithgow - Mudgee,103,Central West,1,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/103031075,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\103031075.html,downloaded,,Wollangambe - Wollemi,0,0,0,review,No QuickStats table values parsed.,0
107011133,Port Kembla Industrial,10701,Dapto - Port Kembla,107,Illawarra,1,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/107011133,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\107011133.html,downloaded,,Port Kembla Industrial,0,0,0,review,No QuickStats table values parsed.,0
107021135,Illawarra Catchment Reserve,10702,Illawarra Catchment Reserve,107,Illawarra,1,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/107021135,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\107021135.html,downloaded,,Illawarra Catchment Reserve,0,0,0,review,No QuickStats table values parsed.,0
118011342,Centennial Park,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/118011342,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\118011342.html,downloaded,,Centennial Park,0,0,0,review,No QuickStats table values parsed.,0
123021439,Holsworthy Military Area,12302,Campbelltown (NSW),123,Sydney - Outer South West,1,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/123021439,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\123021439.html,downloaded,,Holsworthy Military Area,0,0,0,review,No QuickStats table values parsed.,0
125011475,Rookwood Cemetery,12501,Auburn,125,Sydney - Parramatta,1,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/125011475,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\125011475.html,downloaded,,Rookwood Cemetery,0,0,0,review,No QuickStats table values parsed.,0
197979799,Migratory - Offshore - Shipping (NSW),19797,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),1,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/197979799,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\197979799.html,failed,404 Client Error: Not Found for url: https://www.abs.gov.au/census/find-census-data/quickstats/2021/197979799,,0,0,0,fail,404 Client Error: Not Found for url: https://www.abs.gov.au/census/find-census-data/quickstats/2021/197979799,0
199999499,No usual address (NSW),19999,No usual address (NSW),199,No usual address (NSW),1,New South Wales,https://www.abs.gov.au/census/find-census-data/quickstats/2021/199999499,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\199999499.html,failed,404 Client Error: Not Found for url: https://www.abs.gov.au/census/find-census-data/quickstats/2021/199999499,,0,0,0,fail,404 Client Error: Not Found for url: https://www.abs.gov.au/census/find-census-data/quickstats/2021/199999499,0
205021080,Alps - East,20502,Gippsland - East,205,Latrobe - Gippsland,2,Victoria,https://www.abs.gov.au/census/find-census-data/quickstats/2021/205021080,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\205021080.html,downloaded,,Alps - East,0,0,0,review,No QuickStats table values parsed.,0
205021083,Lake King,20502,Gippsland - East,205,Latrobe - Gippsland,2,Victoria,https://www.abs.gov.au/census/find-census-data/quickstats/2021/205021083,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\205021083.html,downloaded,,Lake King,0,0,0,review,No QuickStats table values parsed.,0
206041127,West Melbourne - Industrial,20604,Melbourne City,206,Melbourne - Inner,2,Victoria,https://www.abs.gov.au/census/find-census-data/quickstats/2021/206041127,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\206041127.html,downloaded,,West Melbourne - Industrial,0,0,0,review,No QuickStats table values parsed.,0
206041507,Royal Botanic Gardens Victoria,20604,Melbourne City,206,Melbourne - Inner,2,Victoria,https://www.abs.gov.au/census/find-census-data/quickstats/2021/206041507,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\206041507.html,downloaded,,Royal Botanic Gardens Victoria,0,0,0,review,No QuickStats table values parsed.,0
208031192,Moorabbin Airport,20803,Kingston,208,Melbourne - Inner South,2,Victoria,https://www.abs.gov.au/census/find-census-data/quickstats/2021/208031192,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\census_2021_quickstats_sa2\html\208031192.html,downloaded,,Moorabbin Airport,0,0,0,review,No QuickStats table values parsed.,0
