source_slug,source_file,wide_column_name,field_role_initial,modelling_use_initial,notes
12_month_affective_disorders_modelled_sa2,12-month_Affective_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_affective_disorders_modelled_sa2__persons_with_disorder,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_affective_disorders_modelled_sa2,12-month_Affective_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_affective_disorders_modelled_sa2__relative_root_mean_square_error_a,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_affective_disorders_modelled_sa2,12-month_Affective_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_affective_disorders_modelled_sa2__unnamed,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_affective_disorders_modelled_sa2,12-month_Affective_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_affective_disorders_modelled_sa2__proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_affective_disorders_modelled_sa2,12-month_Affective_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_affective_disorders_modelled_sa2__95_confidence_interval_of_proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_affective_disorders_modelled_sa2,12-month_Affective_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_affective_disorders_modelled_sa2__unnamed_2,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_affective_disorders_modelled_sa2,12-month_Affective_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_affective_disorders_modelled_sa2__population,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_anxiety_disorders_modelled_sa2,12-month_Anxiety_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_anxiety_disorders_modelled_sa2__persons_with_disorder,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_anxiety_disorders_modelled_sa2,12-month_Anxiety_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_anxiety_disorders_modelled_sa2__relative_root_mean_square_error_a,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_anxiety_disorders_modelled_sa2,12-month_Anxiety_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_anxiety_disorders_modelled_sa2__unnamed,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_anxiety_disorders_modelled_sa2,12-month_Anxiety_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_anxiety_disorders_modelled_sa2__proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_anxiety_disorders_modelled_sa2,12-month_Anxiety_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_anxiety_disorders_modelled_sa2__95_confidence_interval_of_proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_anxiety_disorders_modelled_sa2,12-month_Anxiety_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_anxiety_disorders_modelled_sa2__unnamed_2,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_anxiety_disorders_modelled_sa2,12-month_Anxiety_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_anxiety_disorders_modelled_sa2__population,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_substance_use_disorders_modelled_sa2,12-month_Substance_Use_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_substance_use_disorders_modelled_sa2__persons_with_disorder,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_substance_use_disorders_modelled_sa2,12-month_Substance_Use_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_substance_use_disorders_modelled_sa2__relative_root_mean_square_error_a,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_substance_use_disorders_modelled_sa2,12-month_Substance_Use_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_substance_use_disorders_modelled_sa2__unnamed,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_substance_use_disorders_modelled_sa2,12-month_Substance_Use_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_substance_use_disorders_modelled_sa2__proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_substance_use_disorders_modelled_sa2,12-month_Substance_Use_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_substance_use_disorders_modelled_sa2__95_confidence_interval_of_proportion,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_substance_use_disorders_modelled_sa2,12-month_Substance_Use_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_substance_use_disorders_modelled_sa2__unnamed_2,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
12_month_substance_use_disorders_modelled_sa2,12-month_Substance_Use_disorders_-_modelled_-_SA2.xlsx,nsmhw__12_month_substance_use_disorders_modelled_sa2__population,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_modelled_sa2,Any_12-month_mental_disorder_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_modelled_sa2__persons_with_disorder,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_modelled_sa2,Any_12-month_mental_disorder_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_modelled_sa2__relative_root_mean_square_error_a,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
any_12_month_mental_disorder_modelled_sa2,Any_12-month_mental_disorder_-_modelled_-_SA2.xlsx,nsmhw__any_12_month_mental_disorder_modelled_sa2__unnamed,nsmhw_modelled_estimate_unclassified,manual_review_required,"Preserved from ABS NSMHW SA2 modelled estimate workbook. Classify later as primary outcome, sensitivity outcome, related outcome, target-leakage exclusion, or descriptive context."
