filename,sheet_name,header_row,row_count,column_count,score,matched_spine_count,sa2_like_count,reasons,standardised_columns,source_slug
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,4,2348,9,185,2342,2342,has_sa2_code; matched_spine_2342; sa2_like_2342; has_sa2_name; useful_cols_5; filename_modelled; filename_sa2,sa2_code_2021 | sa2_name_2021 | persons_with_disorder | relative_root_mean_square_error_a | unnamed | proportion | 95_confidence_interval_of_proportion | unnamed_2 | population,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,SA2s excluded,6,64,2,70,63,63,has_sa2_code; has_sa2_name; useful_cols_0; filename_modelled; filename_sa2,sa2_code_2021 | sa2_name_2021,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Calculating CIs,11,10,7,66,5,5,has_sa2_code; useful_cols_6; filename_modelled; filename_sa2,sa2_code_2021 | persons_with_disorder | relative_root_mean_square_error | proportion | rmse_of_total_proportion | 95_lower_bound | 95_upper_bound,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Predictor variables,6,96,9,29,0,0,useful_cols_9; filename_modelled; filename_sa2,predictor_variables_included_in_models | any_12_month_mental_disorder | any_12_month_mental_disorder_by_mild_severity | any_12_month_mental_disorder_by_moderate_severity | any_12_month_mental_disorder_by_severe_severity | 12_month_anxiety_disorders | 12_month_affective_disorders | 12_month_substance_use_disorders | comorbidity_of_any_12_month_mental_disorder_and_a_physical_condition,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,6,2346,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101021007 | braidwood | 165 | 25 | unnamed | 4_7 | 2_4 | 7 | 3508,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,7,2345,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101021008 | karabar | 555 | 22_4 | unnamed | 8_3 | 4_6 | 11_9 | 6694,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,8,2344,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101021009 | queanbeyan | 749 | 22_3 | unnamed | 8_3 | 4_7 | 12 | 8991,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,9,2343,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101021010 | queanbeyan_east | 340 | 22_6 | unnamed | 8_2 | 4_6 | 11_8 | 4148,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,10,2342,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101021012 | queanbeyan_west_jerrabomberra | 648 | 22_8 | unnamed | 6_7 | 3_7 | 9_7 | 9703,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,11,2341,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101021610 | googong | 305 | 23_3 | unnamed | 6_6 | 3_6 | 9_7 | 4600,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,12,2340,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101021611 | queanbeyan_surrounds | 826 | 22_7 | unnamed | 6_4 | 3_5 | 9_2 | 12992,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,13,2339,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101031013 | bombala | 87 | 27 | unnamed | 4_5 | 2_1 | 6_9 | 1940,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,14,2338,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101031014 | cooma | 336 | 22_9 | unnamed | 6_8 | 3_7 | 9_8 | 4967,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,15,2337,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101031015 | cooma_surrounds | 152 | 24_4 | unnamed | 5_3 | 2_8 | 7_9 | 2845,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,16,2336,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101031016 | jindabyne_berridale | 406 | 23 | unnamed | 6_6 | 3_6 | 9_6 | 6161,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,17,2335,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101041017 | batemans_bay | 521 | 22_2 | unnamed | 7_7 | 4_3 | 11 | 6799,12_month_affective_disorders_modelled_sa2
12-month_Affective_disorders_-_modelled_-_SA2.xlsx,Persons,18,2334,9,28,0,0,useful_cols_8; filename_modelled; filename_sa2,101041018 | batemans_bay_south | 458 | 22_8 | unnamed | 6_4 | 3_5 | 9_2 | 7181,12_month_affective_disorders_modelled_sa2
