old_column_name,new_column_name,renamed,missing_count,dtype
sa2_code_2021,sa2_code_2021,False,0,string
sa2_name_2021,sa2_name_2021,False,0,string
sa3_code_2021,sa3_code_2021,False,0,string
sa3_name_2021,sa3_name_2021,False,0,string
sa4_code_2021,sa4_code_2021,False,0,string
sa4_name_2021,sa4_name_2021,False,0,string
state_code_2021,state_code_2021,False,0,string
state_name_2021,state_name_2021,False,0,string
area_albers_sqkm,area_albers_sqkm,False,18,Float64
seifa_irsd_decile_australia,seifa_irsd_decile_australia,False,123,float64
seifa_irsd_decile_australia_2,seifa_irsd_decile_australia_2,False,127,float64
seifa_irsd_percentile_australia,seifa_irsd_percentile_australia,False,123,float64
seifa_irsd_percentile_australia_2,seifa_irsd_percentile_australia_2,False,2472,float64
seifa_irsd_percentile_australia_3,seifa_irsd_percentile_australia_3,False,127,float64
seifa_irsd_rank_australia,seifa_irsd_rank_australia,False,123,float64
seifa_irsd_rank_australia_2,seifa_irsd_rank_australia_2,False,127,float64
seifa_irsd_score,seifa_irsd_score,False,123,float64
seifa_irsd_score_2,seifa_irsd_score_2,False,2472,float64
seifa_irsd_score_3,seifa_irsd_score_3,False,123,float64
seifa_irsd_score_4,seifa_irsd_score_4,False,123,float64
seifa_irsd_score_5,seifa_irsd_score_5,False,123,float64
seifa_irsd_score_missing_flag,seifa_irsd_score_missing_flag,False,0,bool
seifa_irsad_decile_australia,seifa_irsad_decile_australia,False,123,float64
seifa_irsad_decile_australia_2,seifa_irsad_decile_australia_2,False,127,float64
seifa_irsad_percentile_australia,seifa_irsad_percentile_australia,False,123,float64
seifa_irsad_percentile_australia_2,seifa_irsad_percentile_australia_2,False,2472,float64
seifa_irsad_percentile_australia_3,seifa_irsad_percentile_australia_3,False,127,float64
seifa_irsad_rank_australia,seifa_irsad_rank_australia,False,123,float64
seifa_irsad_rank_australia_2,seifa_irsad_rank_australia_2,False,127,float64
seifa_irsad_score,seifa_irsad_score,False,123,float64
seifa_irsad_score_2,seifa_irsad_score_2,False,2472,float64
seifa_irsad_score_3,seifa_irsad_score_3,False,123,float64
seifa_irsad_score_4,seifa_irsad_score_4,False,123,float64
seifa_irsad_score_5,seifa_irsad_score_5,False,123,float64
seifa_irsad_score_missing_flag,seifa_irsad_score_missing_flag,False,0,bool
seifa_ier_decile_australia,seifa_ier_decile_australia,False,122,float64
seifa_ier_decile_australia_2,seifa_ier_decile_australia_2,False,126,float64
seifa_ier_percentile_australia,seifa_ier_percentile_australia,False,122,float64
seifa_ier_percentile_australia_2,seifa_ier_percentile_australia_2,False,2472,float64
seifa_ier_percentile_australia_3,seifa_ier_percentile_australia_3,False,126,float64
seifa_ier_rank_australia,seifa_ier_rank_australia,False,122,float64
seifa_ier_rank_australia_2,seifa_ier_rank_australia_2,False,126,float64
seifa_ier_score,seifa_ier_score,False,122,float64
seifa_ier_score_2,seifa_ier_score_2,False,2472,float64
seifa_ier_score_3,seifa_ier_score_3,False,122,float64
seifa_ier_score_4,seifa_ier_score_4,False,122,float64
seifa_ier_score_5,seifa_ier_score_5,False,122,float64
seifa_ier_score_missing_flag,seifa_ier_score_missing_flag,False,0,bool
seifa_ieo_decile_australia,seifa_ieo_decile_australia,False,110,float64
seifa_ieo_decile_australia_2,seifa_ieo_decile_australia_2,False,110,float64
seifa_ieo_percentile_australia,seifa_ieo_percentile_australia,False,110,float64
seifa_ieo_percentile_australia_2,seifa_ieo_percentile_australia_2,False,2472,float64
seifa_ieo_percentile_australia_3,seifa_ieo_percentile_australia_3,False,110,float64
seifa_ieo_rank_australia,seifa_ieo_rank_australia,False,110,float64
seifa_ieo_rank_australia_2,seifa_ieo_rank_australia_2,False,110,float64
seifa_ieo_score,seifa_ieo_score,False,110,float64
seifa_ieo_score_2,seifa_ieo_score_2,False,2472,float64
seifa_ieo_score_3,seifa_ieo_score_3,False,110,float64
seifa_ieo_score_4,seifa_ieo_score_4,False,110,float64
seifa_ieo_score_5,seifa_ieo_score_5,False,110,float64
seifa_ieo_score_missing_flag,seifa_ieo_score_missing_flag,False,0,bool
seifa_excluded_table6_flag,seifa_excluded_table6_flag,False,0,bool
source_seifa_present_flag,source_seifa_present_flag,False,0,bool
remoteness_area_code_2021,remoteness_area_code_2021,False,0,string
remoteness_area_name_2021,remoteness_area_name_2021,False,0,string
remoteness_area_short_2021,remoteness_area_short_2021,False,0,string
remoteness_area_ordinal_2021,remoteness_area_ordinal_2021,False,18,Int64
remoteness_area_share_of_sa2,remoteness_area_share_of_sa2,False,18,float64
remoteness_sa1_count,remoteness_sa1_count,False,0,int64
sa2_ra_category_count,sa2_ra_category_count,False,0,int64
remoteness_assignment_method,remoteness_assignment_method,False,0,str
source_remoteness_present_flag,source_remoteness_present_flag,False,0,bool
nsmhw__12_month_affective_disorders_modelled_sa2__persons_with_disorder,nsmhw__12_month_affective_disorders_modelled_sa2__persons_with_disorder,False,130,float64
nsmhw__12_month_affective_disorders_modelled_sa2__relative_root_mean_square_error_a,nsmhw__12_month_affective_disorders_modelled_sa2__relative_root_mean_square_error_pct,True,130,float64
nsmhw__12_month_affective_disorders_modelled_sa2__unnamed,nsmhw__12_month_affective_disorders_modelled_sa2__relative_root_mean_square_error_flag,True,2380,string
nsmhw__12_month_affective_disorders_modelled_sa2__proportion,nsmhw__12_month_affective_disorders_modelled_sa2__proportion,False,130,float64
nsmhw__12_month_affective_disorders_modelled_sa2__95_confidence_interval_of_proportion,nsmhw__12_month_affective_disorders_modelled_sa2__proportion_95ci_lower,True,130,float64
