column_name,source_table,initial_field_role,initial_modelling_use,missing_count,missing_pct,dtype,notes
sa2_code_2021,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,0,0.0,string,From validated SA2 2021 geography spine.
sa2_name_2021,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,0,0.0,string,From validated SA2 2021 geography spine.
sa3_code_2021,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,0,0.0,string,From validated SA2 2021 geography spine.
sa3_name_2021,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,0,0.0,string,From validated SA2 2021 geography spine.
sa4_code_2021,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,0,0.0,string,From validated SA2 2021 geography spine.
sa4_name_2021,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,0,0.0,string,From validated SA2 2021 geography spine.
state_code_2021,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,0,0.0,string,From validated SA2 2021 geography spine.
state_name_2021,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,0,0.0,string,From validated SA2 2021 geography spine.
area_albers_sqkm,sa2_2021_spine,geography_identifier_or_context,identifier_context_or_grouping,18,0.728,string,From validated SA2 2021 geography spine.
seifa_irsd_decile_australia,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,123,4.976,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_irsd_decile_australia_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,127,5.138,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_irsd_percentile_australia,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,123,4.976,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_irsd_percentile_australia_2,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,2472,100.0,float64,SEIFA variable or SEIFA missingness/exclusion flag.
seifa_irsd_percentile_australia_3,sa2_seifa_2021,candidate_predictor_or_missingness_context,candidate_predictor_after_screening,127,5.138,float64,SEIFA variable or SEIFA missingness/exclusion flag.
