column_name,missing_count,missing_pct,non_missing_count,dtype
seifa_ieo_percentile_australia_2,2472,100.0,0,float64
seifa_ieo_score_2,2472,100.0,0,float64
seifa_ier_percentile_australia_2,2472,100.0,0,float64
seifa_ier_score_2,2472,100.0,0,float64
seifa_irsad_percentile_australia_2,2472,100.0,0,float64
seifa_irsad_score_2,2472,100.0,0,float64
seifa_irsd_percentile_australia_2,2472,100.0,0,float64
seifa_irsd_score_2,2472,100.0,0,float64
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__unnamed,2422,97.977,50,string
nsmhw__12_month_anxiety_disorders_modelled_sa2__unnamed,2412,97.573,60,string
nsmhw__any_12_month_mental_disorder_modelled_sa2__unnamed,2412,97.573,60,string
nsmhw__12_month_affective_disorders_modelled_sa2__unnamed,2380,96.278,92,string
nsmhw__12_month_substance_use_disorders_modelled_sa2__unnamed,163,6.594,2309,string
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__unnamed,157,6.351,2315,string
nsmhw__12_month_affective_disorders_modelled_sa2__95_confidence_interval_of_proportion,130,5.259,2342,float64
nsmhw__12_month_affective_disorders_modelled_sa2__persons_with_disorder,130,5.259,2342,float64
nsmhw__12_month_affective_disorders_modelled_sa2__population,130,5.259,2342,float64
nsmhw__12_month_affective_disorders_modelled_sa2__proportion,130,5.259,2342,float64
nsmhw__12_month_affective_disorders_modelled_sa2__relative_root_mean_square_error_a,130,5.259,2342,float64
nsmhw__12_month_affective_disorders_modelled_sa2__unnamed_2,130,5.259,2342,float64
nsmhw__12_month_anxiety_disorders_modelled_sa2__95_confidence_interval_of_proportion,130,5.259,2342,float64
nsmhw__12_month_anxiety_disorders_modelled_sa2__persons_with_disorder,130,5.259,2342,float64
nsmhw__12_month_anxiety_disorders_modelled_sa2__population,130,5.259,2342,float64
nsmhw__12_month_anxiety_disorders_modelled_sa2__proportion,130,5.259,2342,float64
nsmhw__12_month_anxiety_disorders_modelled_sa2__relative_root_mean_square_error_a,130,5.259,2342,float64
nsmhw__12_month_anxiety_disorders_modelled_sa2__unnamed_2,130,5.259,2342,float64
nsmhw__12_month_substance_use_disorders_modelled_sa2__95_confidence_interval_of_proportion,130,5.259,2342,float64
nsmhw__12_month_substance_use_disorders_modelled_sa2__persons_with_disorder,130,5.259,2342,float64
nsmhw__12_month_substance_use_disorders_modelled_sa2__population,130,5.259,2342,float64
nsmhw__12_month_substance_use_disorders_modelled_sa2__proportion,130,5.259,2342,float64
nsmhw__12_month_substance_use_disorders_modelled_sa2__relative_root_mean_square_error_a,130,5.259,2342,float64
nsmhw__12_month_substance_use_disorders_modelled_sa2__unnamed_2,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__95_confidence_interval_of_proportion,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__persons_with_mild_severity,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__population,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__proportion,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__relative_root_mean_square_error_a,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__unnamed_2,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_modelled_sa2__95_confidence_interval_of_proportion,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_modelled_sa2__persons_with_disorder,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_modelled_sa2__population,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_modelled_sa2__proportion,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_modelled_sa2__relative_root_mean_square_error_a,130,5.259,2342,float64
nsmhw__any_12_month_mental_disorder_modelled_sa2__unnamed_2,130,5.259,2342,float64
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__95_confidence_interval_of_proportion,130,5.259,2342,float64
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__persons_with_comorbidity,130,5.259,2342,float64
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__population,130,5.259,2342,float64
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__proportion,130,5.259,2342,float64
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__relative_root_mean_square_error_b,130,5.259,2342,float64
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__unnamed_2,130,5.259,2342,float64
seifa_irsad_decile_australia_2,127,5.138,2345,float64
seifa_irsad_percentile_australia_3,127,5.138,2345,float64
seifa_irsad_rank_australia_2,127,5.138,2345,float64
seifa_irsd_decile_australia_2,127,5.138,2345,float64
seifa_irsd_percentile_australia_3,127,5.138,2345,float64
seifa_irsd_rank_australia_2,127,5.138,2345,float64
seifa_ier_decile_australia_2,126,5.097,2346,float64
seifa_ier_percentile_australia_3,126,5.097,2346,float64
seifa_ier_rank_australia_2,126,5.097,2346,float64
seifa_irsad_decile_australia,123,4.976,2349,float64
seifa_irsad_percentile_australia,123,4.976,2349,float64
seifa_irsad_rank_australia,123,4.976,2349,float64
seifa_irsad_score,123,4.976,2349,float64
seifa_irsad_score_3,123,4.976,2349,float64
seifa_irsad_score_4,123,4.976,2349,float64
seifa_irsad_score_5,123,4.976,2349,float64
seifa_irsd_decile_australia,123,4.976,2349,float64
seifa_irsd_percentile_australia,123,4.976,2349,float64
seifa_irsd_rank_australia,123,4.976,2349,float64
seifa_irsd_score,123,4.976,2349,float64
seifa_irsd_score_3,123,4.976,2349,float64
seifa_irsd_score_4,123,4.976,2349,float64
seifa_irsd_score_5,123,4.976,2349,float64
seifa_ier_decile_australia,122,4.935,2350,float64
seifa_ier_percentile_australia,122,4.935,2350,float64
seifa_ier_rank_australia,122,4.935,2350,float64
seifa_ier_score,122,4.935,2350,float64
seifa_ier_score_3,122,4.935,2350,float64
seifa_ier_score_4,122,4.935,2350,float64
seifa_ier_score_5,122,4.935,2350,float64
seifa_ieo_decile_australia,110,4.45,2362,float64
seifa_ieo_decile_australia_2,110,4.45,2362,float64
seifa_ieo_percentile_australia,110,4.45,2362,float64
seifa_ieo_percentile_australia_3,110,4.45,2362,float64
seifa_ieo_rank_australia,110,4.45,2362,float64
seifa_ieo_rank_australia_2,110,4.45,2362,float64
seifa_ieo_score,110,4.45,2362,float64
seifa_ieo_score_3,110,4.45,2362,float64
seifa_ieo_score_4,110,4.45,2362,float64
seifa_ieo_score_5,110,4.45,2362,float64
area_albers_sqkm,18,0.728,2454,string
remoteness_area_ordinal_2021,18,0.728,2454,Int64
remoteness_area_share_of_sa2,18,0.728,2454,float64
remoteness_area_code_2021,0,0.0,2472,string
remoteness_area_name_2021,0,0.0,2472,string
remoteness_area_short_2021,0,0.0,2472,string
remoteness_assignment_method,0,0.0,2472,str
remoteness_sa1_count,0,0.0,2472,int64
sa2_code_2021,0,0.0,2472,string
sa2_name_2021,0,0.0,2472,string
sa2_ra_category_count,0,0.0,2472,int64
sa3_code_2021,0,0.0,2472,string
sa3_name_2021,0,0.0,2472,string
sa4_code_2021,0,0.0,2472,string
sa4_name_2021,0,0.0,2472,string
seifa_excluded_table6_flag,0,0.0,2472,bool
seifa_ieo_score_missing_flag,0,0.0,2472,bool
seifa_ier_score_missing_flag,0,0.0,2472,bool
seifa_irsad_score_missing_flag,0,0.0,2472,bool
seifa_irsd_score_missing_flag,0,0.0,2472,bool
source_nsmhw_present_flag,0,0.0,2472,bool
source_remoteness_present_flag,0,0.0,2472,bool
source_seifa_present_flag,0,0.0,2472,bool
state_code_2021,0,0.0,2472,string
state_name_2021,0,0.0,2472,string
