column_name,missing_count,missing_pct,non_missing_count,dtype
seifa_ieo_percentile_australia_2,2472,100.0,0,float64
seifa_ieo_score_2,2472,100.0,0,float64
seifa_ier_percentile_australia_2,2472,100.0,0,float64
seifa_ier_score_2,2472,100.0,0,float64
seifa_irsad_percentile_australia_2,2472,100.0,0,float64
seifa_irsad_score_2,2472,100.0,0,float64
seifa_irsd_percentile_australia_2,2472,100.0,0,float64
seifa_irsd_score_2,2472,100.0,0,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_albanian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_albanian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_bhutanese_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_bhutanese_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_colombian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_colombian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_croatian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_croatian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_javanese_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_javanese_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_karen_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_karen_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_mongolian_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_mongolian_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_norfolk_islander_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_norfolk_islander_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_papua_new_guinean_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_papua_new_guinean_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_pitcairn_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_pitcairn_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_sikh_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_sikh_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_sinhalese_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_sinhalese_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_tongan_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_ancestry_top_responses_all_people_tongan_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_albania_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_albania_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_canada_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_canada_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_chile_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_chile_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_kiribati_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_kiribati_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_norfolk_island_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_norfolk_island_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_northern_ireland_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_northern_ireland_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_romania_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_romania_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_solomon_islands_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_solomon_islands_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_spain_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_father_top_stat_spain_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_austria_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_austria_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_france_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_france_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_israel_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_israel_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_kiribati_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_kiribati_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_norfolk_island_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_norfolk_island_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_russian_federation_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_russian_federation_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_singapore_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_singapore_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_sweden_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_sweden_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_zimbabwe_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_of_mother_top_stat_zimbabwe_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_albania_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_albania_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_eritrea_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_eritrea_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_finland_count,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_finland_pct,2471,99.96,1,float64
census_qs_cultural_diversity_unnamed_unnamed_country_of_birth_top_responses_all_jordan_count,2471,99.96,1,float64
