column_name,source_family,native_geography,join_key,field_role,modelling_warning
aihw_admitted_hospitalisations_rate_per_10000_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_admitted_hospitalisations_rate_per_10000_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_admitted_hospitalisations_rate_per_10000_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_community_care_contacts_rate_per_10000_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_community_care_contacts_rate_per_10000_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_community_care_contacts_rate_per_10000_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_emergency_department_presentations_rate_per_10000_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_emergency_department_presentations_rate_per_10000_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_emergency_department_presentations_rate_per_10000_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_patients_rate_per_10000_all_providers_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_patients_rate_per_10000_all_providers_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_patients_rate_per_10000_all_providers_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_services_rate_per_10000_all_providers_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_services_rate_per_10000_all_providers_2021_22_source_value,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_services_rate_per_10000_all_providers_2021_22_publication_status,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
aihw_medicare_benefit_paid_per_capita_all_providers_2021_22,aihw_sa3_regional_profiles_2021_22,SA3,sa3_code_2021,candidate_predictor_aihw_sa3_service_activity,SA3-level predictor repeated across SA2 rows in the same SA3. Use grouped validation by sa3_code_2021.
