check_name,value,status,notes
source_sa1_file,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\remoteness\SA1_2021_AUST.xlsx,info,SA1-to-SA2 ASGS file used.
source_ra_file,D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\remoteness\RA_2021_AUST.xlsx,info,SA1-to-Remoteness Area ASGS file used.
row_count,2472,info,Rows in processed SA2 remoteness source table.
unique_sa2_count,2472,info,Unique SA2 codes.
missing_sa2_code,0,pass,SA2 code must not be missing.
duplicate_sa2_rows,0,pass,Output must remain one row per SA2.
missing_remoteness_name,0,pass,SA2 rows without a remoteness category.
multi_ra_sa2_count,295,info,SA2s crossing more than one remoteness category; dominant category assigned.
lowest_dominant_share,0.490156,info,Lowest dominant RA area share across SA2s.
count__Major Cities of Australia,1467,info,SA2 count by assigned remoteness category.
count__Inner Regional Australia,514,info,SA2 count by assigned remoteness category.
count__Outer Regional Australia,346,info,SA2 count by assigned remoteness category.
count__Very Remote Australia,66,info,SA2 count by assigned remoteness category.
count__Remote Australia,61,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (NSW),1,info,SA2 count by assigned remoteness category.
count__No usual address (NSW),1,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (Vic.),1,info,SA2 count by assigned remoteness category.
count__No usual address (Vic.),1,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (Qld),1,info,SA2 count by assigned remoteness category.
count__No usual address (Qld),1,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (SA),1,info,SA2 count by assigned remoteness category.
count__No usual address (SA),1,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (WA),1,info,SA2 count by assigned remoteness category.
count__No usual address (WA),1,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (Tas.),1,info,SA2 count by assigned remoteness category.
count__No usual address (Tas.),1,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (NT),1,info,SA2 count by assigned remoteness category.
count__No usual address (NT),1,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (ACT),1,info,SA2 count by assigned remoteness category.
count__No usual address (ACT),1,info,SA2 count by assigned remoteness category.
count__Migratory - Offshore - Shipping (OT),1,info,SA2 count by assigned remoteness category.
count__No usual address (OT),1,info,SA2 count by assigned remoteness category.
