file_path,file_name,row_count,column_count,score,reasons,columns
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SA2_2021_AUST.xlsx,SA2_2021_AUST.xlsx,2473,16,34,has_sa2_code; has_sa3_code; has_sa2_name; has_sa3_name; has_sa4_code; has_state_code; filename_sa2; filename_2021,SA2_CODE_2021; SA2_NAME_2021; CHANGE_FLAG_2021; CHANGE_LABEL_2021; SA3_CODE_2021; SA3_NAME_2021; SA4_CODE_2021; SA4_NAME_2021; GCCSA_CODE_2021; GCCSA_NAME_2021; STATE_CODE_2021; STATE_NAME_2021; AUS_CODE_2021; AUS_NAME_2021; AREA_ALBERS_SQKM; ASGS_LOCI_URI_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\MB_2021_AUST.xlsx,MB_2021_AUST.xlsx,368286,19,32,has_sa2_code; has_sa3_code; has_sa2_name; has_sa3_name; has_sa4_code; has_state_code; filename_2021,MB_CODE_2021; MB_CATEGORY_2021; CHANGE_FLAG_2021; CHANGE_LABEL_2021; SA1_CODE_2021; SA2_CODE_2021; SA2_NAME_2021; SA3_CODE_2021; SA3_NAME_2021; SA4_CODE_2021; SA4_NAME_2021; GCCSA_CODE_2021; GCCSA_NAME_2021; STATE_CODE_2021; STATE_NAME_2021; AUS_CODE_2021; AUS_NAME_2021; AREA_ALBERS_SQKM; ASGS_LOCI_URI_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SA1_2021_AUST.xlsx,SA1_2021_AUST.xlsx,61845,17,32,has_sa2_code; has_sa3_code; has_sa2_name; has_sa3_name; has_sa4_code; has_state_code; filename_2021,SA1_CODE_2021; CHANGE_FLAG_2021; CHANGE_LABEL_2021; SA2_CODE_2021; SA2_NAME_2021; SA3_CODE_2021; SA3_NAME_2021; SA4_CODE_2021; SA4_NAME_2021; GCCSA_CODE_2021; GCCSA_NAME_2021; STATE_CODE_2021; STATE_NAME_2021; AUS_CODE_2021; AUS_NAME_2021; AREA_ALBERS_SQKM; ASGS_LOCI_URI_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SA3_2021_AUST.xlsx,SA3_2021_AUST.xlsx,359,14,21,has_sa3_code; has_sa3_name; has_sa4_code; has_state_code; filename_sa3; filename_2021,SA3_CODE_2021; SA3_NAME_2021; CHANGE_FLAG_2021; CHANGE_LABEL_2021; SA4_CODE_2021; SA4_NAME_2021; GCCSA_CODE_2021; GCCSA_NAME_2021; STATE_CODE_2021; STATE_NAME_2021; AUS_CODE_2021; AUS_NAME_2021; AREA_ALBERS_SQKM; ASGS_LOCI_URI_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\DZN_SA2_2021_AUST.xlsx,DZN_SA2_2021_AUST.xlsx,9329,9,19,has_sa2_code; has_sa2_name; has_state_code; filename_sa2; filename_2021,DZN_CODE_2021; SA2_CODE_2021; SA2_NAME_2021; STATE_CODE_2021; STATE_NAME_2021; AUS_CODE_2021; AUS_NAME_2021; AREA_ALBERS_SQKM; ASGS_LOCI_URI_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CG_SA2_2016_SA2_2021.csv,CG_SA2_2016_SA2_2021.csv,2504,8,17,has_sa2_code; has_sa2_name; filename_sa2; filename_2021,SA2_MAINCODE_2016; SA2_NAME_2016; SA2_CODE_2021; SA2_NAME_2021; RATIO_FROM_TO; INDIV_TO_REGION_QLTY_INDICATOR; OVERALL_QUALITY_INDICATOR; BMOS_NULL_FLAG
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\CG_SA3_2016_SA3_2021.csv,CG_SA3_2016_SA3_2021.csv,367,8,17,has_sa3_code; has_sa3_name; filename_sa3; filename_2021,SA3_CODE_2016; SA3_NAME_2016; SA3_CODE_2021; SA3_NAME_2021; RATIO_FROM_TO; INDIV_TO_REGION_QLTY_INDICATOR; OVERALL_QUALITY_INDICATOR; BMOS_NULL_FLAG
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\MB_DZN_2021_AUST.xlsx,MB_DZN_2021_AUST.xlsx,368289,10,17,has_sa2_code; has_sa2_name; has_state_code; filename_2021,MB_CODE_2021; DZN_CODE_2021; SA2_CODE_2021; SA2_NAME_2021; STATE_CODE_2021; STATE_NAME_2021; AUS_CODE_2021; AUS_NAME_2021; AREA_ALBERS_SQKM; ASGS_LOCI_URI_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\TR_2021_AUST.xlsx,TR_2021_AUST.xlsx,2473,10,17,has_sa2_code; has_sa2_name; has_state_code; filename_2021,SA2_CODE_2021; SA2_NAME_2021; TR_CODE_2021; TR_NAME_2021; STATE_CODE_2021; STATE_NAME_2021; AUS_CODE_2021; AUS_NAME_2021; AREA_ALBERS_SQKM; ASGS_LOCI_URI_2021
D:\Good Measure\MentalWellbeingbyGeography\data\raw\abs\geography\SUA_2021_AUST.xlsx,SUA_2021_AUST.xlsx,2473,8,15,has_sa2_code; has_sa2_name; filename_2021,SA2_CODE_2021; SA2_NAME_2021; SUA_CODE_2021; SUA_NAME_2021; AUS_CODE_2021; AUS_NAME_2021; AREA_ALBERS_SQKM; ASGS_LOCI_URI_2021
