column_name,dtype,missing_count
sa2_code_2021,string,0
sa2_name_2021,string,0
seifa_irsd_decile_australia,float64,123
seifa_irsd_decile_australia_2,float64,127
seifa_irsd_percentile_australia,float64,123
seifa_irsd_percentile_australia_2,float64,2472
seifa_irsd_percentile_australia_3,float64,127
seifa_irsd_rank_australia,float64,123
seifa_irsd_rank_australia_2,float64,127
seifa_irsd_score,float64,123
seifa_irsd_score_2,float64,2472
seifa_irsd_score_3,float64,123
seifa_irsd_score_4,float64,123
seifa_irsd_score_5,float64,123
seifa_irsd_score_missing_flag,bool,0
seifa_irsad_decile_australia,float64,123
seifa_irsad_decile_australia_2,float64,127
seifa_irsad_percentile_australia,float64,123
seifa_irsad_percentile_australia_2,float64,2472
seifa_irsad_percentile_australia_3,float64,127
seifa_irsad_rank_australia,float64,123
seifa_irsad_rank_australia_2,float64,127
seifa_irsad_score,float64,123
seifa_irsad_score_2,float64,2472
seifa_irsad_score_3,float64,123
seifa_irsad_score_4,float64,123
seifa_irsad_score_5,float64,123
seifa_irsad_score_missing_flag,bool,0
seifa_ier_decile_australia,float64,122
seifa_ier_decile_australia_2,float64,126
seifa_ier_percentile_australia,float64,122
seifa_ier_percentile_australia_2,float64,2472
seifa_ier_percentile_australia_3,float64,126
seifa_ier_rank_australia,float64,122
seifa_ier_rank_australia_2,float64,126
seifa_ier_score,float64,122
seifa_ier_score_2,float64,2472
seifa_ier_score_3,float64,122
seifa_ier_score_4,float64,122
seifa_ier_score_5,float64,122
seifa_ier_score_missing_flag,bool,0
seifa_ieo_decile_australia,float64,110
seifa_ieo_decile_australia_2,float64,110
seifa_ieo_percentile_australia,float64,110
seifa_ieo_percentile_australia_2,float64,2472
seifa_ieo_percentile_australia_3,float64,110
seifa_ieo_rank_australia,float64,110
seifa_ieo_rank_australia_2,float64,110
seifa_ieo_score,float64,110
seifa_ieo_score_2,float64,2472
seifa_ieo_score_3,float64,110
seifa_ieo_score_4,float64,110
seifa_ieo_score_5,float64,110
seifa_ieo_score_missing_flag,bool,0
seifa_excluded_table6_flag,object,0
