index_key,index_label,sheet_name,header_end_row,score,reasons,row_count_parsed,column_count_parsed,kept_columns,standard_names
ieo,Index of Education and Occupation,Table 5,9,315,has_sa2_code; has_sa2_name; has_seifa_ieo_score; has_seifa_ieo_decile_australia; has_12_ieo_columns; many_sa2_rows_2362; file_is_sa2; table_sheet,2364,14,sa2_code_2021 | sa2_name_2021 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_decile_australia | seifa_ieo_percentile_australia | seifa_ieo_percentile_australia_2 | seifa_ieo_rank_australia_2 | seifa_ieo_decile_australia_2 | seifa_ieo_percentile_australia_3 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5,sa2_code_2021 | sa2_name_2021 | usual_resident_population_4343_8517_11342_5085 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_decile_australia | seifa_ieo_percentile_australia | seifa_ieo_percentile_australia_2 | state_nsw | seifa_ieo_rank_australia_2 | seifa_ieo_decile_australia_2 | seifa_ieo_percentile_australia_3 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5
ieo,Index of Education and Occupation,Table 5,5,295,has_sa2_code; has_sa2_name; has_seifa_ieo_score; has_13_ieo_columns; many_sa2_rows_2366; file_is_sa2; table_sheet,2368,15,sa2_code_2021 | sa2_name_2021 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5,sa2_code_2021 | sa2_name_2021 | socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_usual_resident_population | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5
ieo,Index of Education and Occupation,Table 5,6,295,has_sa2_code; has_sa2_name; has_seifa_ieo_score; has_13_ieo_columns; many_sa2_rows_2365; file_is_sa2; table_sheet,2367,15,sa2_code_2021 | sa2_name_2021 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5,sa2_code_2021 | sa2_name_2021 | released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_usual_resident_population_4343 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5
ieo,Index of Education and Occupation,Table 5,7,295,has_sa2_code; has_sa2_name; has_seifa_ieo_score; has_13_ieo_columns; many_sa2_rows_2364; file_is_sa2; table_sheet,2366,15,sa2_code_2021 | sa2_name_2021 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5,sa2_code_2021 | sa2_name_2021 | table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_usual_resident_population_4343_8517 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5
ieo,Index of Education and Occupation,Table 5,8,295,has_sa2_code; has_sa2_name; has_seifa_ieo_score; has_13_ieo_columns; many_sa2_rows_2363; file_is_sa2; table_sheet,2365,15,sa2_code_2021 | sa2_name_2021 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5,sa2_code_2021 | sa2_name_2021 | usual_resident_population_4343_8517_11342 | seifa_ieo_score | seifa_ieo_score_2 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_score_3 | seifa_ieo_score_4 | seifa_ieo_score_5
ieo,Index of Education and Occupation,Table 5,4,135,has_11_ieo_columns; file_is_sa2; table_sheet,2369,11,seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_rank_state_5 | seifa_ieo_rank_state_6 | seifa_ieo_rank_state_7,australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_2 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_3 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_4 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_5 | seifa_ieo_rank_australia | seifa_ieo_rank_australia_2 | seifa_ieo_rank_australia_3 | seifa_ieo_rank_australia_4 | seifa_ieo_rank_state | seifa_ieo_rank_state_2 | seifa_ieo_rank_state_3 | seifa_ieo_rank_state_4 | seifa_ieo_rank_state_5 | seifa_ieo_rank_state_6 | seifa_ieo_rank_state_7
ieo,Index of Education and Occupation,Table 5,0,0,empty_or_no_kept_columns,0,0,,australian_bureau_of_statistics | australian_bureau_of_statistics_2 | australian_bureau_of_statistics_3 | australian_bureau_of_statistics_4 | australian_bureau_of_statistics_5 | australian_bureau_of_statistics_6 | australian_bureau_of_statistics_7 | australian_bureau_of_statistics_8 | australian_bureau_of_statistics_9 | australian_bureau_of_statistics_10 | australian_bureau_of_statistics_11 | australian_bureau_of_statistics_12 | australian_bureau_of_statistics_13 | australian_bureau_of_statistics_14 | australian_bureau_of_statistics_15 | australian_bureau_of_statistics_16
ieo,Index of Education and Occupation,Table 5,1,0,empty_or_no_kept_columns,0,0,,australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_2 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_3 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_4 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_5 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_6 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_7 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_8 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_9 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_10 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_11 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_12 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_13 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_14 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_15 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_16
ieo,Index of Education and Occupation,Table 5,2,0,empty_or_no_kept_columns,0,0,,australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_2 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_3 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_4 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_5 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_6 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_7 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_8 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_9 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_10 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_11 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_12 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_13 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_14 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_15 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_16
ieo,Index of Education and Occupation,Table 5,3,0,empty_or_no_kept_columns,0,0,,australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_2 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_3 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_4 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_5 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_6 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_7 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_8 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_9 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_10 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_11 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_12 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_13 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_14 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_15 | australian_bureau_of_statistics_socio_economic_indexes_for_australia_seifa_2021_released_at_11_30am_canberra_time_27_april_2023_table_5_statistical_area_level_2_sa2_index_of_education_and_occupation_2021_16
ieo,Index of Education and Occupation,Table 5,10,0,empty_or_no_kept_columns,0,0,,101021007_101021008_101021009_101021010_101021012 | braidwood_karabar_queanbeyan_queanbeyan_east_queanbeyan_west_jerrabomberra | 4343_8517_11342_5085_12744 | 1007_6770116_966_60647795_1000_4465361_1024_5050079_1080_4409858 | 1007_6770116_966_60647795_1000_4465361_1024_5050079_1080_4409858_2 | 1356_989_1299_1494_1855 | 6_5_6_7_8 | 58_42_55_64_79 | 58_42_55_64_79_2 | nsw | 346_258_329_376_468 | 6_5_6_8 | 55_41_53_60_75 | 912_94761987_848_81429284_936_83412662_946_122158_863_81763189 | 1051_4560484_1076_0971043_1097_1323732_1103_4425392_1150_7986198 | 0_0_0066863324_0
ieo,Index of Education and Occupation,Table 5,11,0,empty_or_no_kept_columns,0,0,,101021008_101021009_101021010_101021012_101021610 | karabar_queanbeyan_queanbeyan_east_queanbeyan_west_jerrabomberra_googong | 8517_11342_5085_12744_6224 | 966_60647795_1000_4465361_1024_5050079_1080_4409858_1126_9933201 | 966_60647795_1000_4465361_1024_5050079_1080_4409858_1126_9933201_2 | 989_1299_1494_1855_2130 | 5_6_7_8_9 | 42_55_64_79_90 | 42_55_64_79_90_2 | nsw | 258_329_376_468_550 | 5_6_8_9 | 41_53_60_75_88 | 848_81429284_936_83412662_946_122158_863_81763189_1078_8876428 | 1076_0971043_1097_1323732_1103_4425392_1150_7986198_1191_7158551 | 0_0_0066863324_0
ieo,Index of Education and Occupation,Table 5,12,0,empty_or_no_kept_columns,0,0,,101021009_101021010_101021012_101021610_101021611 | queanbeyan_queanbeyan_east_queanbeyan_west_jerrabomberra_googong_queanbeyan_surrounds | 11342_5085_12744_6224_16539 | 1000_4465361_1024_5050079_1080_4409858_1126_9933201_1072_9907011 | 1000_4465361_1024_5050079_1080_4409858_1126_9933201_1072_9907011_2 | 1299_1494_1855_2130_1818 | 6_7_8_9_8 | 55_64_79_90_77 | 55_64_79_90_77_2 | nsw | 329_376_468_550_460 | 6_8_9_8 | 53_60_75_88_74 | 936_83412662_946_122158_863_81763189_1078_8876428_923_36892222 | 1097_1323732_1103_4425392_1150_7986198_1191_7158551_1149_9561053 | 0_0_0066863324_0
ieo,Index of Education and Occupation,Table 5,13,0,empty_or_no_kept_columns,0,0,,101021010_101021012_101021610_101021611_101031013 | queanbeyan_east_queanbeyan_west_jerrabomberra_googong_queanbeyan_surrounds_bombala | 5085_12744_6224_16539_2454 | 1024_5050079_1080_4409858_1126_9933201_1072_9907011_919_42579933 | 1024_5050079_1080_4409858_1126_9933201_1072_9907011_919_42579933_2 | 1494_1855_2130_1818_488 | 7_8_9_8_3 | 64_79_90_77_21 | 64_79_90_77_21_2 | nsw | 376_468_550_460_104 | 6_8_9_8_2 | 60_75_88_74_17 | 946_122158_863_81763189_1078_8876428_923_36892222_812_37013793 | 1103_4425392_1150_7986198_1191_7158551_1149_9561053_1031_0259253 | 0_0066863324_0
